dDisplacement_nm_ori     dForce
1618.016     3090.8651
1622.454     3100.5841
1626.758     3109.0491
1635.376     3124.5054
1639.238     3131.1206
1643.722     3137.2656
1648.252     3146.7965
1656.778     3168.2723
1661.139     3174.7935
1665.196     3182.6314
1673.979     3202.0694
1678.155     3211.1614
1682.608     3221.2566
1691.077     3239.9736
1695.417     3246.9336
1699.634     3255.3672
1704.03     3263.7068
1712.572     3280.2604
1716.943     3287.44
1721.195     3295.7482
1729.886     3313.1483
1734.179     3322.2403
1738.442     3330.4544
1746.706     3347.2589
1751.313     3356.0687
1755.941     3364.2829
1759.947     3373.1554
1768.699     3390.7437
1773.039     3400.4
1777.539     3410.119
1786.203     3435.7646
1790.723     3444.1042
1794.976     3452.1929
1803.702     3468.5271
1808.068     3476.365
1812.609     3484.4537
1816.908     3494.9565
1825.737     3510.0367
1829.912     3520.5708
1834.324     3530.3212
1843.066     3548.0035
1847.561     3555.622
1852.07     3563.3972
1860.653     3582.2395
1865.018     3592.6483
1869.374     3600.9251
1878.357     3617.0399
1882.636     3624.9718
1887.079     3632.9979
1891.362     3643.0617
1900.351     3658.2359
1904.67     3667.8922
1909.185     3677.9561
1917.829     3695.4503
1922.416     3704.6677
1926.551     3713.9792
1935.827     3732.9783
1940.039     3744.6097
1944.548     3754.7677
1953.465     3769.2835
1957.995     3776.8706
1962.412     3786.0566
1966.706     3795.807
1975.649     3812.486
1980.21     3821.1391
1984.776     3828.7576
1993.605     3846.1891
1998.017     3856.3157
2002.465     3866.8185
2011.526     3886.4759
2015.969     3895.9755
2020.571     3904.5031
2024.814     3912.8427
2033.874     3931.9672
2038.235     3941.1846
2042.801     3949.1165
2051.62     3962.535
2056.233     3972.0346
2060.676     3979.6217
2069.752     3998.5581
2074.143     4007.7755
2078.591     4016.0837
2083.142     4024.8308
2092.125     4040.5693
2096.682     4051.1348
2101.068     4062.7036
2114.427     4081.7654
2119.055     4089.7287
2123.534     4100.3882
2132.749     4118.823
2137.022     4128.981
2141.656     4136.7562
2146.227     4145.3152
2155.344     4162.0256
2159.797     4170.4905
2164.173     4178.1403
2173.09     4199.5849
2177.677     4209.8682
2182.279     4218.1137
2191.252     4237.6458
2195.67     4248.2113
2200.092     4257.9616
2204.725     4266.9909
2213.755     4284.6105
2218.388     4291.7274
2222.651     4298.7188
2231.871     4315.7114
2236.293     4324.5212
2240.957     4332.704
2249.848     4351.4523
2254.466     4360.1053
2258.945     4369.8243
2268.288     4388.3218
2272.752     4407.6658
2277.287     4416.0994
2281.838     4427.5114
2290.981     4447.0121
2295.511     4456.0727
2300.011     4465.6663
2309.133     4485.0416
2313.746     4492.3466
2318.487     4501.1564
2327.573     4519.4344
2332.258     4527.4918
2336.546     4536.2389
2345.849     4554.6737
2350.405     4562.3548
2355.074     4572.7009
2359.579     4582.6393
2368.732     4600.2276
2373.144     4609.2569
2377.859     4620.324
2387.151     4640.6085
2391.846     4649.2929
2396.361     4658.9492
2405.468     4674.5624
2410.055     4683.5916
2414.78     4692.6209
2419.547     4701.4621
2428.598     4720.712
2433.308     4730.964
2437.818     4739.3349
2447.171     4758.1772
2451.625     4768.3665
2456.314     4778.4931
2465.457     4798.3073
2470.214     4809.2177
2474.708     4817.9648
2479.331     4824.9876
2488.52     4843.1715
2493.328     4852.7965
2497.93     4860.9793
2507.187     4877.8778
2511.593     4886.5309
2516.072     4895.1839
2525.405     4913.7441
2530.162     4924.3723
2534.78     4934.8438
2539.331     4944.8449
2548.695     4966.2581
2553.384     4975.5696
2558.244     4985.9783
2567.454     5004.0055
2572.148     5013.9753
2576.663     5022.0954
2586.166     5038.0534
2590.748     5048.5562
2595.515     5059.1844
2604.694     5075.3619
2609.61     5084.1717
2614.197     5093.9534
2623.648     5113.7049
2628.106     5122.7342
2632.925     5131.7635
2642.119     5154.1799
2646.968     5164.1184
2651.704     5173.1163
2656.311     5180.9542
2665.681     5200.6744
2670.386     5209.5469
2675.178     5219.1405
2684.532     5236.4466
2689.14     5244.6608
2693.716     5254.7874
2703.224     5273.8492
2707.893     5283.0665
2712.732     5292.8483
2717.165     5302.2851
2726.74     5321.5977
2731.301     5333.0411
2736.124     5343.7633
2745.283     5362.8565
2750.06     5371.8858
2754.77     5380.2567
2764.324     5397.3747
2768.932     5407.3758
2778.414     5427.2528
2783.027     5435.5923
2792.632     5455.4379
2797.265     5464.8748
2802.125     5474.6251
2811.494     5491.6804
2816.307     5501.7757
2820.678     5512.6547
2830.587     5534.7576
2835.112     5543.4733
2839.931     5552.628
2849.392     5573.5082
2854.288     5583.7602
2859.013     5591.316
2863.657     5599.2479
2873.103     5615.5821
2877.906     5625.3952
2882.724     5636.0548
2892.243     5654.8658
2896.937     5665.1177
2901.56     5674.9308
2911.166     5695.1213
2915.953     5704.6835
2920.818     5714.3712
2925.179     5724.6859
2934.928     5744.7823
2939.633     5753.8116
2944.513     5763.1544
2953.955     5782.3729
2958.871     5791.4335
2963.529     5801.0899
2973.253     5819.023
2977.897     5828.0836
2982.684     5837.3324
2992.089     5857.9304
2997.067     5870.4084
3001.844     5880.723
3011.424     5899.5027
3016.021     5909.0336
3020.855     5918.6585
3030.461     5936.9679
3035.361     5947.2199
3040.252     5957.5973
3044.792     5966.1249
3054.527     5985.124
3059.293     5993.2128
3064.23     6001.3328
3073.717     6019.36
3078.587     6030.8034
3083.272     6041.0867
3093.011     6062.061
3097.721     6073.7238
3102.668     6085.0731
3107.312     6095.3564
3117.046     6116.4875
3121.736     6125.7048
3126.708     6134.6401
3136.196     6152.4478
3141.173     6162.3863
3146.053     6172.4501
3150.815     6182.4827
3160.503     6201.6072
3165.208     6211.1067
3170.155     6221.1079
3179.817     6240.2324
3184.764     6251.2368
3189.5     6261.5515
3199.167     6282.4317
3203.95     6293.2167
3208.969     6303.0611
3213.751     6312.0277
3223.609     6331.8419
3228.252     6339.429
3233.132     6348.8972
3242.877     6367.1439
3247.864     6376.518
3252.806     6385.1397
3262.453     6406.9605
3267.318     6416.6795
3272.239     6425.9596
3277.227     6436.2743
3286.822     6457.8442
3291.754     6467.3438
3296.505     6488.7256
3306.496     6509.7312
3311.268     6519.7324
3316.22     6528.7617
3325.975     6548.5445
3331.03     6558.0441
3335.853     6568.7977
3340.877     6577.2627
3350.56     6595.5093
3355.589     6607.1094
3360.526     6617.4868
3370.399     6637.5205
3375.12     6646.0795
3380.071     6656.4883
3389.986     6677.7133
3395.03     6690.0659
3400.075     6698.9071
3404.924     6706.7136
3414.735     6729.2555
3419.595     6737.8772
3424.696     6748.3173
3434.595     6767.2537
3439.66     6776.0635
3444.139     6787.5695
3454.325     6806.067
3459.139     6817.2909
3464.173     6827.1667
3469.171     6837.3559
3483.832     6858.2988
3488.722     6869.6481
3493.741     6878.3012
3503.619     6898.7111
3508.484     6908.2107
3513.307     6918.3059
3518.382     6928.4952
3528.255     6948.4035
3533.279     6955.8652
3537.758     6965.3647
3548.151     6986.7152
3552.974     6995.5877
3558.029     7005.15
3567.825     7026.0615
3572.911     7037.7557
3577.919     7048.1017
3582.84     7058.7299
3592.749     7079.328
3597.65     7090.0816
3602.705     7100.2082
3612.686     7120.2732
3617.725     7128.5814
3622.544     7139.6172
3632.391     7156.6411
3637.415     7166.5169
3642.593     7175.3267
3652.466     7197.5864
3657.495     7207.9951
3662.236     7218.4039
3672.351     7236.337
3677.2     7248.2507
3682.332     7259.8194
3687.331     7270.1968
3697.24     7289.9484
3702.115     7300.8587
3707.133     7310.3896
3717.12     7330.3293
3722.133     7339.484
3727.018     7347.3219
3737.143     7367.7945
3742.095     7377.2314
3747.053     7388.5807
3752.241     7398.331
3762.001     7418.1139
3767.128     7429.9962
3772.09     7440.9379
3782.267     7461.5986
3787.039     7472.1014
3792.15     7483.4194
3802.183     7502.1363
3807.371     7512.2002
3812.302     7522.8911
3822.273     7540.0091
3827.2     7550.4806
3832.373     7561.2655
3837.438     7570.8905
3847.486     7603.2768
3852.335     7613.8423
3857.333     7623.7807
3867.35     7647.0123
3872.467     7656.6059
3877.645     7665.6038
3887.58     7687.0484
3892.573     7699.6517
3897.566     7709.9037
3902.749     7720.6887
3912.746     7737.8694
3917.909     7746.93
