Distance_nm     Force_uN
0     2.025
-1.301     0.648
-11.364     1.62
-47.124     0.324
-64.219     -0.324
-56.507     2.025
-48.434     4.536
-40.734     4.536
-32.061     1.944
-23.134     0.081
-14.568     0.405
-6.312     -1.377
2.118     -0.648
10.067     3.726
17.133     5.913
24.147     5.751
32.353     5.103
40.559     5.265
48.003     4.698
56.122     3.24
64.184     1.863
72.059     1.215
80.199     1.539
87.863     2.511
95.468     1.539
103.596     0.081
111.312     -0.486
119.134     2.025
126.061     2.916
133.259     1.944
141.388     2.592
148.915     2.511
156.211     0.972
164.344     1.539
171.58     4.617
178.239     7.047
185.5     6.804
193.119     4.374
201.212     2.835
209.296     2.268
216.69     2.592
224.387     3.159
231.788     2.187
239.176     1.701
247.157     0.162
254.928     -0.162
262.224     1.053
269.467     2.106
275.881     3.564
283.009     3.807
290.629     2.592
297.967     2.106
305.685     2.592
313.19     3.726
320.026     4.131
327.52     4.293
334.866     1.62
342.877     0.81
350.797     3.726
