Distance_nm     Force_uN
0     1.377
0.486     -0.486
6.078     1.053
12.987     3.321
28.252     2.187
35.686     2.511
50.994     0.729
58.297     1.539
65.003     3.888
78.034     9.639
85.685     8.181
102.199     1.377
109.243     1.863
122.973     5.265
130.241     4.86
147.125     -3.564
153.89     -2.835
159.679     2.43
172.741     6.723
181.146     3.078
195.68     1.053
202.425     3.078
215.203     8.667
223.007     7.128
229.826     7.047
245.838     3.078
252.455     3.807
266.075     6.885
273.686     4.779
289.609     -0.81
295.878     1.944
307.009     14.499
310.919     26.244
322.262     37.341
327.686     44.145
331.5     57.105
340.714     76.221
344.424     89.262
352.492     112.266
357.226     120.771
365.612     143.451
370.384     151.389
375.038     160.866
383.613     181.44
388.655     190.269
397.759     208.575
401.735     220.32
408.566     245.349
419.182     258.228
429.282     275.157
433.733     284.472
437.486     297.351
444.964     322.542
450.035     332.181
458.298     353.484
462.947     363.528
472.499     380.295
475.882     395.523
483.553     421.038
487.492     433.836
490.703     447.444
501.028     463.725
509.648     485.595
513.281     498.798
514.147     522.45
517.994     535.896
522.385     537.921
517.827     502.2
512.884     489.645
501.653     471.906
495.979     462.672
485.999     441.45
482.427     424.602
472.689     403.947
466.428     398.358
457.477     375.273
453.568     361.26
450.332     345.303
440.507     324.972
435.318     316.872
428.124     287.388
424.244     274.185
413.745     258.066
409.51     246.24
406.481     229.635
399.94     199.503
393.548     194.886
383.235     178.2
378.902     166.86
371.323     140.454
366.806     130.653
356.788     113.238
352.537     101.898
343.42     81.324
339.363     71.28
334.189     62.694
325.827     41.148
321.548     28.512
311.338     11.988
305.646     5.508
300.901     -2.349
288.395     -9.801
281.406     -9.882
267.664     -14.094
260.665     -13.77
245.097     -9.558
238.085     -10.044
224.159     -12.717
217.507     -14.904
202.327     -12.069
194.457     -10.044
181.571     -14.256
174.161     -13.689
158.921     -9.963
151.461     -9.882
138.404     -14.499
130.643     -13.608
114.16     -4.293
107.213     -5.994
96.319     -17.901
89.28     -18.225
80.342     -11.502
63.474     -2.835
57.866     -7.857
47.294     -21.141
39.104     -16.767
21.272     -3.483
14.145     -3.726
3.72600000000003     -17.334
-3.70099999999997     -17.01
