Distance_nm     Force_uN
0     -1.4735
0.042     -2.1633
0.047     -1.5676
-0.005     -0.4703
0.057     -0.4703
0.042     -0.9092
0     -1.5362
-0.021     -2.6022
-0.011     -3.1038
-0.058     -1.8184
-0.078     -0.5016
-0.058     0.2195
-0.073     -0.4703
-0.125     -1.5049
-0.157     -1.2541
-0.152     -0.5957
-0.157     -0.0627
-0.146     -0.5957
-0.209     -1.693
-0.261     -2.32
-0.251     -2.3827
-0.219     -1.4735
-0.282     -0.2195
-0.292     -0.2195
-0.261     -1.1914
-0.319     -2.1633
-0.261     -2.2887
-0.266     -1.3795
-0.329     -0.5643
-0.345     -0.3762
-0.334     -0.5957
-0.329     -0.9719
-0.303     -1.5049
-0.329     -1.787
-0.366     -1.693
-0.371     -0.8465
-0.386     0.4703
-0.392     0.627
-0.418     -0.8465
-0.36     -3.0098
-0.339     -3.9503
-0.324     -2.6335
-0.355     -0.2508
-0.454     0.627
-0.449     0.3449
-0.439     -1.1914
-0.444     -2.4768
-0.512     -2.1946
-0.512     -1.3795
-0.507     0.0627
-0.491     0.3762
-0.538     -0.2508
-0.501     -1.3795
-0.496     -2.2573
-0.527     -2.6335
-0.621     -2.0379
-0.642     -1.3168
-0.663     -0.6897
-0.658     -0.3449
-0.653     -0.0941
-0.679     -0.4076
-0.71     -1.4108
-0.726     -2.0379
-0.726     -2.0379
-0.7     -1.5049
-0.752     -0.7211
-0.778     -0.0941
-0.757     -0.5643
-0.757     -1.066
-0.757     -0.5957
-0.778     -0.0627
-0.804     -0.7211
-0.825     -2.2887
-0.809     -3.6368
-0.799     -3.8876
-0.82     -3.0725
-0.903     -1.0346
-0.945     0.6897
-0.924     0.7211
-0.872     -0.533
-0.882     -2.1319
-0.888     -3.0411
-0.94     -2.3827
-0.956     -1.2854
-0.94     -0.533
-0.956     0.0627
-1.003     0.4076
-1.013     0.2195
-1.003     -0.4703
-1.013     -1.4422
-1.008     -2.0379
-0.992     -1.8497
-1.003     -1.066
-1.018     -0.7838
-1.008     -1.3481
-1.034     -1.9438
-1.034     -1.9438
-1.055     -2.2573
-1.029     -2.4141
-1.013     -2.1633
-1.008     -1.4422
-1.044     -0.3449
-1.076     0.1568
-1.117     -0.5016
-1.154     -1.0346
-1.133     -1.16
-1.123     -0.6897
-1.112     -0.0627
-1.159     -0.3762
-1.185     -1.2541
-1.149     -2.0692
-1.18     -2.1946
-1.18     -2.0065
-1.185     -1.2854
-1.232     -1.0033
-1.269     -1.693
-1.358     -2.5081
-1.321     -3.3233
-1.29     -2.6335
-1.321     -1.2227
-1.363     0
-1.384     0.3449
-1.394     -0.8465
-1.41     -1.3168
-1.436     -1.0033
-1.42     -0.7524
-1.493     -0.6584
-1.566     -0.5643
-1.572     -0.7211
-1.556     -1.5049
-1.551     -2.4768
-1.572     -2.6649
-1.572     -2.32
-1.624     -1.8811
-1.64     -1.5676
-1.65     -1.693
-1.65     -1.6616
-1.65     -1.6303
-1.65     -1.7557
-1.697     -1.6616
-1.687     -1.2854
-1.734     -1.4108
-1.77     -1.1914
-1.791     -0.1568
-1.781     -0.4703
-1.833     -0.8151
-1.843     -0.6584
-1.812     -0.6584
-1.812     -0.7838
-1.817     -0.5957
-1.833     -1.3795
-1.864     -2.1319
-1.838     -2.1319
-1.885     -2.1319
-1.927     -2.1319
-1.911     -2.1946
-1.922     -1.2854
-1.932     -1.4108
-1.875     -1.3481
-1.88     -1.7243
-1.942     -2.0379
-1.937     -1.2541
-1.922     -0.7211
-1.916     -1.0973
-1.984     -1.0033
-2.026     -0.8465
-2.047     -0.8778
-2.047     -0.9092
-2.047     -1.3168
-2.026     -1.5049
-2.031     -1.5049
-2.094     -1.8184
-2.094     -2.226
-2.089     -2.1633
-2.052     -1.9125
-2.073     -1.2227
-2.083     -1.3168
-2.115     -1.5362
-2.13     -0.7838
-2.12     -0.5957
-2.146     -1.3168
-2.183     -1.1914
-2.203     -1.066
-2.23     -1.0973
-2.23     -1.16
-2.235     -1.4735
-2.214     -1.5049
-2.25     -1.8497
-2.297     -1.9125
-2.334     -1.5049
-2.308     -1.4108
-2.297     -1.5676
-2.344     -1.3481
-2.355     -1.3481
-2.371     -1.2227
-2.402     -1.5049
-2.397     -1.787
-2.428     -1.2854
-2.449     -0.9092
-2.465     -0.6897
-2.459     -0.4076
-2.444     -1.0033
-2.449     -2.0065
-2.438     -2.5081
-2.423     -2.2573
-2.449     -1.9125
-2.438     -1.3481
-2.485     -0.8465
-2.491     -0.8465
-2.538     -0.7211
-2.538     -1.2854
-2.532     -1.8497
-2.532     -2.4768
-2.512     -1.9752
-2.548     -1.0346
-2.585     -0.6897
-2.621     -0.7211
-2.605     -1.16
-2.626     -1.4422
-2.658     -1.066
-2.689     -0.3449
-2.715     -0.9405
-2.642     -1.8184
-2.621     -2.3827
-2.71     -2.8216
-2.684     -2.3514
-2.679     -1.6303
-2.647     -1.066
-2.668     -1.1914
-2.694     -1.9125
-2.694     -1.9438
-2.699     -1.5676
-2.778     -1.2854
-2.736     -1.066
-2.741     -0.8778
-2.778     -0.6897
-2.757     -0.533
-2.793     -0.9092
-2.793     -1.3795
-2.825     -1.4422
-2.83     -1.5362
-2.804     -1.5362
-2.767     -1.693
-2.752     -2.4141
-2.752     -2.5395
-2.788     -2.1633
-2.773     -1.9752
-2.84     -2.0692
-2.919     -2.0692
-2.934     -2.0065
-2.914     -1.5362
-2.934     -0.8465
-2.955     -0.5643
-2.929     -0.8778
-2.929     -1.6303
-2.898     -1.5362
-2.924     -0.9405
-3.023     -0.5643
-3.055     -0.4389
-3.018     -1.3795
-2.992     -2.4454
-2.976     -2.7276
-3.028     -2.1633
-3.096     -1.787
-3.086     -1.8497
-3.081     -1.9438
-3.055     -1.5989
-3.034     -1.5989
-3.06     -1.2854
-3.075     -1.2854
-3.138     -1.5049
-3.159     -0.6584
-3.164     -0.2195
-3.185     -0.5643
-3.18     -0.9092
-3.248     -1.1287
-3.269     -0.9092
-3.258     -1.2854
-3.3     -2.2573
-3.3     -2.7276
-3.331     -2.8216
-3.394     -2.6335
-3.373     -1.7557
-3.363     -1.4422
-3.316     -1.9438
-3.347     -2.2887
-3.399     -2.0065
-3.467     -1.4108
-3.488     -0.8151
-3.514     -0.7524
-3.545     -0.8465
-3.53     -0.7524
-3.571     -0.8778
-3.592     -0.1568
-3.613     -0.1881
-3.613     -0.8778
-3.629     -1.0346
-3.618     -1.5049
-3.618     -2.2573
-3.66     -2.2887
-3.671     -2.3827
-3.676     -2.3827
-3.702     -2.5395
-3.728     -2.6335
-3.754     -2.1319
-3.78     -1.8184
-3.801     -1.4108
-3.765     -1.0973
-3.817     -1.1287
-3.77     -1.0346
-3.791     -0.6584
-3.864     -1.066
-3.838     -1.1287
-3.848     -0.6897
-3.89     -0.8465
-3.911     -0.5957
-3.979     -1.2854
-4.026     -2.1633
-4.031     -2.4141
-4.041     -2.5395
-4.047     -2.5395
-4.083     -2.3514
-4.125     -2.4454
-4.109     -1.7557
-4.109     -1.5989
-4.135     -1.9438
-4.172     -1.7557
-4.229     -1.1914
-4.177     -0.7524
-4.151     -0.5016
-4.188     -0.4076
-4.177     -1.0973
-4.161     -1.2854
-4.198     -1.2227
-4.287     -0.8778
-4.339     -0.9405
-4.323     -1.3168
-4.302     -1.8497
-4.302     -2.853
-4.276     -3.0098
-4.271     -2.7589
-4.271     -2.6962
-4.276     -2.8216
-4.323     -2.32
-4.375     -1.7557
-4.396     -1.5049
-4.412     -1.4108
-4.412     -1.5676
-4.36     -1.2854
-4.381     -1.0973
-4.438     -1.066
-4.459     -1.0033
-4.522     -1.3795
-4.548     -1.2541
-4.532     -0.7524
-4.522     -1.0346
-4.527     -1.8184
-4.543     -2.5708
-4.548     -2.9157
-4.516     -2.8216
-4.563     -2.2573
-4.584     -2.2573
-4.631     -2.32
-4.637     -2.0379
-4.61     -1.4735
-4.678     -0.7838
-4.731     -0.6897
-4.751     -0.9405
-4.757     -1.5362
-4.772     -2.0379
-4.741     -1.9438
-4.699     -1.16
-4.741     -0.9092
-4.767     -1.4735
-4.84     -2.0692
-4.851     -2.1006
-4.861     -2.4141
-4.856     -2.6022
-4.83     -2.7903
-4.856     -3.3546
-4.882     -3.1038
-4.955     -2.0692
-5.002     -1.4422
-4.997     -0.8778
-4.997     -1.2227
-5.012     -1.8497
-5.044     -1.5049
-5.117     -1.4108
-5.122     -1.3795
-5.138     -1.0346
-5.195     -1.693
-5.19     -1.9752
-5.18     -1.8184
-5.221     -2.1633
-5.263     -2.1319
-5.242     -2.6649
-5.237     -3.0411
-5.279     -3.1038
-5.268     -3.0098
-5.263     -2.6335
-5.336     -2.3827
-5.341     -2.5081
-5.336     -2.6962
-5.347     -2.0065
-5.315     -1.0346
-5.31     -0.7524
-5.352     -0.4703
-5.467     -0.9405
-5.519     -1.5676
-5.514     -1.9438
-5.54     -1.693
-5.529     -1.3168
-5.535     -1.8184
-5.54     -2.2573
-5.54     -2.6649
-5.514     -3.3233
-5.592     -3.2292
-5.681     -2.5081
-5.623     -2.0692
-5.67     -2.1633
-5.759     -2.5081
-5.78     -3.1979
-5.733     -2.7903
-5.775     -2.0065
-5.764     -1.2541
-5.743     -0.7838
-5.77     -0.8778
-5.785     -0.627
-5.817     -0.7524
-5.827     -1.2227
-5.843     -1.8497
-5.848     -2.1006
-5.9     -2.3514
-5.921     -2.4768
-5.926     -2.5395
-5.931     -2.4454
-5.968     -2.32
-5.999     -2.6962
-6.02     -2.9157
-6.052     -2.6022
-6.109     -2.2887
-6.172     -1.8811
-6.125     -1.6616
-6.083     -1.8184
-6.098     -1.5049
-6.156     -0.9719
-6.229     -0.4389
-6.281     -0.1254
-6.323     -0.627
-6.266     -1.3168
-6.302     -1.9438
-6.37     -2.3827
-6.349     -2.0692
-6.313     -2.6962
-6.302     -2.9471
-6.375     -2.6962
-6.391     -2.9784
-6.37     -3.1979
-6.365     -2.853
-6.407     -2.4454
-6.422     -1.8811
-6.448     -1.7243
-6.438     -2.0692
-6.433     -1.8184
-6.448     -1.3481
-6.49     -1.0033
-6.527     -1.3168
-6.558     -1.8184
-6.548     -2.0692
-6.568     -1.8811
-6.595     -1.8497
-6.584     -2.0692
-6.584     -2.5708
-6.595     -3.0098
-6.61     -3.1979
-6.678     -3.3546
-6.704     -3.1665
-6.683     -2.6022
-6.756     -2.0379
-6.819     -1.9752
-6.788     -2.1946
-6.788     -2.5708
-6.777     -2.0065
-6.767     -2.0692
-6.803     -2.0065
-6.824     -1.4108
-6.819     -1.3168
-6.84     -1.3481
-6.861     -1.8184
-6.84     -2.0379
-6.871     -2.5081
-6.918     -2.6335
-6.939     -2.5081
-6.892     -2.6022
-6.913     -2.8216
-6.96     -2.853
-7.012     -2.6022
-7.023     -2.6335
-7.023     -2.3514
-7.059     -1.9438
-7.033     -1.5049
-7.054     -1.5049
-7.075     -1.7243
-7.111     -1.5676
-7.106     -0.6897
-7.07     -0.4076
-7.101     -1.0346
-7.153     -1.693
-7.138     -2.2887
-7.195     -3.0411
-7.169     -3.3233
-7.164     -3.3546
-7.232     -2.6335
-7.247     -2.1319
-7.263     -2.6335
-7.32     -3.3546
-7.278     -3.5427
-7.252     -2.6335
-7.278     -1.5362
-7.299     -1.4422
-7.31     -1.1914
-7.341     -0.9092
-7.367     -1.2541
-7.393     -1.0973
-7.409     -1.0346
-7.378     -1.2541
-7.352     -1.6616
-7.399     -2.226
-7.419     -2.8844
-7.362     -3.4173
-7.378     -3.48
-7.352     -3.4487
-7.404     -3.4487
-7.43     -3.1979
-7.44     -2.6649
-7.43     -2.32
-7.435     -2.32
-7.435     -2.0692
-7.44     -1.8497
-7.393     -1.4735
-7.43     -1.16
-7.456     -1.7243
-7.487     -1.9125
-7.503     -2.0065
-7.503     -2.3827
-7.55     -2.32
-7.519     -2.6962
-7.487     -3.1352
-7.529     -3.0411
-7.54     -3.2292
-7.576     -2.6962
-7.555     -1.9752
-7.534     -2.0692
-7.55     -2.9784
-7.587     -3.1979
-7.581     -2.6649
-7.581     -1.5362
-7.649     -1.2854
-7.639     -1.9752
-7.618     -2.1633
-7.623     -1.693
-7.597     -1.3481
-7.675     -0.8778
-7.634     -1.5676
-7.634     -2.1633
-7.67     -2.32
-7.654     -2.8844
-7.639     -3.1979
-7.628     -2.6962
-7.67     -2.2887
-7.691     -2.4768
-7.654     -3.0411
-7.67     -3.3546
-7.675     -2.9784
-7.681     -2.6649
-7.691     -2.32
-7.686     -2.7276
-7.712     -2.6335
-7.681     -1.5989
-7.67     -0.9719
-7.707     -1.3481
-7.754     -1.8811
-7.743     -2.1633
-7.748     -2.1006
-7.775     -2.2573
-7.728     -2.7903
-7.733     -3.0411
-7.78     -2.226
-7.795     -1.787
-7.801     -2.5708
-7.79     -3.8563
-7.764     -3.1665
-7.738     -2.6335
-7.701     -2.3827
-7.733     -2.7903
-7.811     -3.1352
-7.795     -2.853
-7.842     -1.8184
-7.879     -1.2854
-7.884     -1.5362
-7.874     -2.0065
-7.879     -2.5081
-7.853     -2.6022
-7.853     -2.8844
-7.853     -3.5427
-7.848     -3.3546
-7.868     -3.3233
-7.863     -3.1352
-7.91     -2.6962
-7.879     -2.8844
-7.91     -2.7903
-7.942     -2.4768
-7.952     -2.5081
-7.926     -2.7589
-7.973     -3.3546
-7.973     -2.9157
-7.915     -1.6303
-7.952     -1.0973
-8.004     -0.9719
-7.994     -1.2541
-7.989     -1.5049
-8.004     -1.787
-8.004     -2.0379
-8.015     -3.0725
