Distance_nm     Force_uN
0     -1.6303
0.134     -0.6584
-0.149     -0.0627
-0.288     -0.4076
-0.15     -0.9405
0.062     -1.8497
0.38     -2.0692
0.429     -1.4735
0.216     -1.16
0.042     -0.5016
-0.171     -0.3135
-0.151     -0.8778
0.03     -1.1914
0.053     -1.6303
0.17     -1.8184
0.218     -1.787
0.223     -1.3481
0.059     0.3449
-0.452     1.8184
-0.968     1.7243
-0.957     0.0941
-0.472     -2.226
0.221     -3.2919
0.514     -2.226
0.2     0.0627
-0.534     0.8151
-0.836     0.0314
-0.555     -1.787
0.046     -3.0725
0.393     -2.2887
0.117     -1.066
-0.293     -0.0941
-0.669     -0.1254
-0.69     -0.6897
-0.546     -0.8465
-0.524     -0.9719
-0.455     -0.5016
-0.615     -0.0314
-0.847     0.0941
-0.968     -0.0627
-0.972     -0.0941
-0.967     -0.3135
-0.934     -0.7211
-0.9     -0.8465
-0.832     -0.8151
-0.79     -0.5643
-0.922     -0.627
-0.922     -1.3481
-0.724     -2.4141
-0.41     -2.8844
-0.298     -1.9752
-0.611     -0.3135
-1.174     0.533
-1.43     0.8778
-1.563     0
-1.27     -1.1287
-0.893     -1.2541
-0.908     -0.9092
-1.072     -0.3762
-1.273     -0.2822
-1.315     -0.5643
-1.236     -0.533
-1.215     -1.0033
-1.097     -2.1006
-0.71     -2.7589
-0.523     -2.6962
-0.56     -1.787
-0.852     -0.6584
-1.188     -0.0314
-1.39     0
-1.448     -0.7838
-1.224     -1.3168
-1.038     -1.5049
-0.932     -0.8465
-1.244     0.0941
-1.558     0.5643
-1.707     0.0314
-1.547     -1.0346
-1.175     -1.2854
-1.069     -1.0973
-1.144     -1.0033
-1.155     -0.9719
-1.191     -1.2227
-1.138     -1.6303
-1.057     -1.5049
-1.068     -1.2227
-1.122     -1.4108
-1.074     -1.5989
-1.031     -1.4422
-1.058     -0.8778
-1.27     -0.5643
-1.418     -0.533
-1.46     -0.7211
-1.412     -1.2227
-1.232     -0.4703
-1.513     -0.1254
-1.63     -0.1568
-1.64     -0.2822
-1.644     -0.9092
-1.427     -1.3481
-1.283     -1.16
-1.363     -1.7243
-1.14     -1.693
-1.135     -1.16
-1.279     -1.0346
-1.285     -1.0033
-1.306     -1.7243
-1.056     -1.8497
-1.056     -0.9405
-1.317     0
-1.599     0.627
-1.88     0.0627
-1.688     -1.2854
-1.268     -1.5362
-1.172     -1.2541
-1.205     -0.5957
-1.418     0.0314
-1.631     -0.3449
-1.456     -1.2854
-1.221     -1.7243
-1.077     -1.787
-1.061     -1.5049
-1.141     -1.6616
-1.099     -1.9438
-1.019     -1.8811
-1.05     -1.5362
-1.162     -0.9405
-1.275     -0.7838
-1.323     -0.9092
-1.322     -1.066
-1.3     -0.8465
-1.364     -0.2508
-1.54     0.3762
-1.789     0.1254
-1.699     -0.8465
-1.333     -0.8151
-1.359     -0.8465
-1.359     -1.4735
-1.115     -1.0346
-1.233     -0.8465
-1.312     -0.7838
-1.386     -1.1287
-1.274     -1.8497
-1.014     -2.1946
-0.887     -1.5676
-1.099     -1.066
-1.253     -0.5957
-1.34     -0.4389
-1.403     -0.6584
-1.324     -0.2822
-1.477     0.2822
-1.71     0.3449
-1.716     -0.0314
-1.541     -0.6897
-1.329     -1.2227
-1.132     -1.2227
-1.117     -1.3481
-1.038     -1.3168
-1.101     -1.5676
-1.005     -1.4422
-1.042     -0.8151
-1.25     -0.4389
-1.377     -0.7524
-1.25     -0.9719
-1.144     -1.4735
-0.98     -1.4108
-0.985     -1.2227
-1.028     -1.0973
-1.071     -0.6897
-1.177     -0.4389
-1.179     -0.1568
-1.301     -0.2822
-1.201     -1.1287
-0.888     -1.6303
-0.791     -1.4108
-0.881     -1.3168
-0.897     -1.1914
-0.934     -1.1287
-0.935     -1.4422
-0.745     -0.8465
-0.91     -0.3762
-1.059     -0.3762
-1.033     -0.4703
-0.985     -0.9092
-0.847     -1.5676
-0.603     -1.8184
-0.502     -1.4422
-0.656     -0.9405
-0.842     -0.5643
-0.938     -0.4389
-1.012     -0.3762
-1.033     -0.8151
-0.889     -1.066
-0.799     -1.3168
-0.719     -1.6303
-0.644     -1.3795
-0.761     -0.5016
