dDisplacement_nm_ori     dForce
0.036     0.4703
2.191     1.8811
6.289     6.4271
13.612     16.0207
17.026     22.5105
20.605     28.2478
23.994     34.2987
30.74     44.3626
34.016     49.7237
37.472     55.7119
44.234     68.5034
47.741     73.9899
50.954     79.2883
57.773     94.1804
61.08     101.3912
64.489     108.2572
71.035     119.9828
74.444     125.2812
77.802     130.3602
84.544     143.0262
87.809     148.1365
90.977     153.529
94.442     168.6719
100.952     177.3249
104.475     183.0309
107.781     189.8342
114.379     203.9111
117.66     208.9901
121.177     215.4172
127.754     228.0206
131.24     233.3503
134.372     239.4012
141.252     251.7537
144.446     257.8046
147.891     264.8901
151.254     271.035
157.805     282.8546
161.142     288.7487
164.5     295.6147
171.283     309.1273
174.553     312.9208
177.901     320.1317
184.673     333.0799
188.067     340.1654
191.317     344.3979
194.742     350.5742
201.231     366.3754
204.743     373.5549
208.034     379.1355
214.889     391.5194
218.129     396.8178
221.559     401.9282
228.084     414.2807
231.596     421.0527
234.934     427.7933
238.307     432.3079
244.904     445.1934
248.324     452.7492
251.785     459.1763
258.598     471.2153
261.992     478.4889
265.175     485.0414
272.009     497.2372
275.346     504.3226
278.874     511.6276
282.165     517.7411
288.86     529.498
292.182     537.0538
295.71     545.2679
302.369     559.2507
305.86     565.2075
309.059     570.506
315.965     583.1093
319.22     588.6899
322.681     595.3678
326.157     602.7668
332.79     615.6524
336.184     621.6405
339.342     627.9422
346.181     643.9002
349.59     650.39
353.092     657.3187
359.7     668.8247
363.073     677.321
366.323     683.5287
369.753     689.7677
376.499     704.0954
379.976     709.8327
383.159     715.9463
390.095     730.807
393.361     737.6416
396.806     744.5703
406.993     758.271
410.423     764.1965
413.842     771.1252
417.36     778.6182
423.952     790.5319
427.418     796.426
430.894     803.4801
437.949     817.2748
441.286     826.21
444.835     832.6998
451.561     846.2124
455.165     853.2979
458.549     859.4741
461.953     864.898
468.746     887.4398
472.351     893.8982
475.883     900.5448
482.867     913.2422
486.291     921.2996
489.624     929.0121
496.571     942.6187
500.073     948.795
503.672     954.9086
507.097     962.6524
514.106     975.7888
517.572     982.2785
521.238     990.2105
528.087     1004.5382
531.702     1011.7804
535.173     1019.8065
542.393     1034.8866
545.89     1042.6618
549.536     1050.1549
553.125     1055.7982
559.887     1068.9972
563.584     1077.5249
567.189     1085.3314
574.26     1098.4364
577.772     1105.5846
581.392     1112.7955
584.842     1120.6334
592.191     1138.88
595.693     1145.4325
599.343     1151.2326
606.368     1166.3127
610.055     1174.5896
613.356     1180.1075
620.946     1194.4352
624.299     1199.2947
627.96     1207.5088
635.123     1221.4603
638.908     1227.7933
642.513     1234.7847
645.973     1243.187
653.172     1257.8909
656.849     1265.5721
660.505     1273.9116
667.746     1287.3615
671.294     1294.1334
674.868     1302.3162
682.252     1318.9639
685.923     1325.8299
689.662     1333.6365
693.081     1340.6279
700.553     1352.9805
704.111     1360.254
707.809     1368.4055
714.941     1383.3289
718.751     1392.2954
722.449     1400.102
726.146     1406.5918
733.52     1419.2265
737.135     1426.7509
740.827     1434.5261
748.263     1450.9857
751.939     1459.8582
755.57     1467.0378
762.877     1482.212
766.605     1490.2066
770.467     1496.5397
774.092     1502.4338
781.677     1517.6393
785.091     1525.5713
788.886     1532.9703
796.302     1548.6775
800.215     1556.2019
803.876     1564.1652
811.255     1578.6183
814.963     1585.3589
818.799     1593.5103
826.317     1610.064
830.179     1618.0273
833.789     1624.0782
837.506     1632.3237
845.194     1647.4979
848.994     1654.4893
852.861     1662.1391
860.276     1676.1219
864.123     1692.174
867.758     1700.2313
875.513     1715.8131
879.112     1723.9332
882.984     1730.2035
886.712     1738.6685
894.421     1755.2535
898.169     1763.9379
902.047     1772.1207
909.482     1786.6992
913.504     1793.0009
917.314     1800.7447
925.038     1816.3892
928.647     1822.8163
936.402     1829.4628
940.099     1836.8305
947.854     1854.1679
951.52     1860.7831
955.51     1868.2762
963.054     1884.579
967.086     1891.7899
970.845     1900.4743
978.486     1916.2442
982.286     1924.6778
986.287     1933.519
990.159     1941.0434
997.924     1956.1862
1001.606     1965.0274
1005.452     1973.0847
1013.268     1989.1368
1017.192     1997.3823
1021.223     2004.1229
1028.885     2021.1155
1032.829     2029.8626
1036.655     2037.2616
1040.728     2046.04
1048.318     2059.3018
1052.339     2068.2056
1056.165     2077.3917
1064.176     2092.8167
1068.018     2101.6265
1072.023     2110.7185
1079.757     2126.6765
1083.85     2134.7966
1087.779     2142.3523
1091.584     2150.2843
1099.478     2163.7028
1103.468     2173.2023
1107.541     2181.8554
1115.496     2197.6566
1119.507     2205.1497
1123.25     2213.8341
1131.19     2228.005
1135.129     2235.5608
1139.263     2243.1792
1143.146     2249.3555
1151.09     2265.6897
1154.993     2274.9384
1159.117     2282.4942
1167.052     2298.6089
1171.125     2307.4187
1174.904     2316.6361
1183.085     2333.5347
1187.014     2341.1218
1191.04     2350.8094
1195.098     2360.3717
1203.037     2373.6648
1207.074     2380.4994
1211.013     2389.6855
1219.179     2408.6846
1223.123     2417.4944
1227.252     2425.2696
1235.187     2440.8827
1239.29     2450.1001
1243.245     2457.844
1247.322     2465.3056
1255.185     2480.0409
1259.396     2489.5405
1263.412     2498.1308
1271.573     2516.0013
1275.378     2524.0273
1279.492     2531.9906
1287.607     2547.541
1291.808     2555.5984
1295.772     2563.3423
1299.783     2580.1467
1308.083     2598.6756
1312.161     2604.9459
1316.295     2612.9719
1324.353     2630.717
1328.441     2638.5549
1332.432     2646.6122
1340.855     2663.26
1344.871     2673.9822
1349.108     2683.1056
1352.99     2691.0375
1361.336     2705.7101
1365.316     2713.9556
1369.584     2721.3232
1377.591     2737.8455
1381.859     2746.4986
1385.998     2755.3084
1390.091     2762.582
1398.53     2780.8914
1402.587     2787.6006
1406.716     2794.2472
1415.072     2812.1176
1419.238     2821.2096
1423.264     2829.9567
1431.589     2844.0963
1435.724     2852.4045
1440.079     2860.8381
1444.126     2871.5603
1452.611     2889.6502
1456.555     2896.046
1460.818     2903.9779
1469.117     2921.5662
1473.457     2929.3728
1477.612     2939.4994
1481.634     2947.2746
1490.062     2964.612
1494.314     2973.4845
1498.639     2983.2349
1506.903     3001.4502
1511.058     3008.567
1515.171     3015.8406
1523.661     3033.8678
1532.187     3042.6149
1536.162     3051.1426
1540.435     3058.9805
1548.868     3078.2931
1553.188     3087.4791
1557.374     3095.0976
1565.658     3110.8048
1569.859     3119.4265
1574.086     3125.6341
1582.622     3144.6959
1586.751     3154.1014
1590.973     3162.2528
1599.432     3178.3362
1603.669     3187.6163
1607.829     3197.1472
1612.211     3204.2013
1620.433     3223.1377
1624.799     3232.8567
1628.938     3242.952
1637.536     3258.7532
1641.583     3266.4344
1646.01     3273.9588
1654.418     3292.0173
1658.856     3301.6423
1663.129     3311.2672
1667.263     3321.8014
1675.707     3338.6059
1680.026     3347.0708
1684.402     3355.2222
1692.923     3369.9575
1697.124     3378.9554
1701.351     3390.1166
1710.031     3405.8865
1714.32     3414.5709
1718.675     3422.785
1722.784     3432.3473
1731.557     3448.9637
1735.768     3458.2124
1740.216     3466.3952
1748.65     3483.9208
1753.113     3492.6992
1757.366     3502.1361
1766.138     3529.1612
1770.386     3536.3721
1774.633     3544.7743
1778.968     3554.3366
1787.695     3570.6708
1792.071     3581.1736
1796.303     3589.7326
1804.916     3607.6971
1809.333     3615.4096
1813.822     3625.3167
1822.559     3644.2217
1826.997     3651.9656
1831.105     3660.5873
1839.909     3678.8967
1844.223     3687.6438
1848.733     3697.3001
1853.052     3706.7996
1861.794     3724.7014
1866.114     3733.7307
1870.613     3740.6908
1879.412     3759.8153
1883.875     3767.2456
1888.225     3774.7387
