Distance_nm     Force_uN
0     -0.3449
0.238     -1.066
-0.463     -0.7524
-0.162     -0.3135
2.17     0.1254
4.626     -0.0627
7.191     -0.8778
10.073     -1.2541
12.628     -0.3762
14.805     0.0627
17.178     -0.8465
19.904     -1.2227
22.569     0.9092
24.238     2.4141
26.082     2.1006
28.674     0.5643
31.576     -1.0973
34.478     -0.5957
36.788     1.3168
38.489     1.7243
40.711     0.6897
43.526     -0.3135
46.169     -0.627
48.677     -0.8151
51.116     -1.2854
53.552     -0.8465
55.837     -0.3449
58.001     0.1568
62.53     -0.0627
64.865     0
67.157     0.533
69.346     0.8465
71.506     1.0033
73.844     1.3481
76.113     1.16
78.354     0.8778
80.831     -0.0627
83.494     -0.7211
85.91     0.0314
87.984     0.8151
89.979     0.9405
92.213     0.533
94.732     -0.8465
97.403     -1.4422
99.928     -0.7524
102.075     -0.9092
104.269     -1.5362
106.8     -1.0346
108.974     0.0941
110.774     0.3762
112.981     -0.4703
115.529     0
117.573     0.9092
119.609     0.7524
121.912     0.9405
124.016     1.066
126.307     0.627
128.685     0.5957
130.951     0.9405
133.153     0.533
135.442     0.4389
137.756     0.2822
140.085     -0.2508
142.464     -0.8151
144.984     -1.16
147.341     -0.627
149.353     -0.627
151.541     -0.9719
152.211     -0.533
151.906     0.2508
151.504     0.9719
151.161     1.3481
150.876     0.5957
150.98     0.1881
151.024     0.5016
150.834     0.1568
150.857     0.4076
150.657     0.8151
150.399     0.8151
150.3     1.3481
150.004     1.4735
149.894     0.6584
150.144     -0.8465
150.508     -1.4735
150.674     -0.7211
150.367     0.5016
149.863     0.7838
149.695     0.5016
149.769     -0.7211
150.09     -1.1914
150.197     0.2195
149.677     0.9092
149.396     -0.4389
149.796     -0.5016
149.775     0.1568
149.562     0.0627
149.553     0.0941
149.474     1.16
149.113     1.5049
148.918     0.6584
149.142     0.6897
149.1     0.9719
148.968     0.3762
149.723     -0.1881
152.175     -0.0941
154.446     -0.9405
157.098     -1.0033
159.542     -0.1881
161.505     -0.1568
163.928     -0.3449
166.3     -0.2822
168.497     -0.533
170.921     -0.6584
173.251     -0.8151
175.57     -0.4076
177.781     0.533
179.713     1.16
181.725     1.4735
184.01     1.3795
186.245     0.7211
188.734     0.8465
190.989     0.9092
193.155     0.2822
195.717     -0.2195
198.169     -0.3135
200.41     -0.4389
202.812     -0.4703
205.016     -0.4076
207.203     -0.2508
209.52     -0.1881
211.682     -0.7211
214.123     -0.8465
216.452     -0.2195
218.402     0.5016
220.512     1.4735
222.459     0.9719
224.754     -0.0314
227.418     0.4076
229.54     1.16
231.504     1.16
233.869     0.8151
236.2     -0.4076
238.844     -1.7557
241.64     -0.9405
243.546     0.1881
245.419     -0.4703
247.955     -1.5362
250.515     -1.16
252.711     -0.5643
254.769     0.0314
256.781     0.9092
258.792     1.0033
260.984     0.5643
263.347     0.1881
265.845     0.5643
267.946     1.3481
269.936     1.3168
272.234     1.16
274.428     0.7524
276.889     -0.1881
279.563     -0.5957
281.852     -0.533
284.175     -0.1254
286.355     -0.2508
288.659     -1.693
291.513     -1.0033
293.535     0.9405
295.079     -0.8778
297.972     -2.6335
300.817     -0.533
302.455     1.2227
304.209     1.8497
306.148     2.0692
308.413     0.4389
311.32     -0.4703
313.879     0.7524
318.017     2.2887
319.762     1.2854
322.53     -0.7524
325.477     -1.4108
328.018     -0.5957
330.159     -0.3135
332.288     -0.4703
334.685     -0.6584
337.119     -0.7211
339.349     -0.0941
341.575     -0.1881
344.05     -1.2227
346.625     -0.5016
348.704     1.787
350.236     1.9752
352.533     0.2195
355.597     0.0627
357.901     1.787
359.645     2.1633
361.919     1.0346
364.542     0.1881
367.173     -0.2195
369.682     -0.0627
371.884     0.4076
374.111     -0.1881
376.688     -1.2227
379.263     -1.5362
381.777     -0.9719
383.893     -0.533
386.063     -0.5016
388.511     0.2822
390.485     1.2854
392.448     1.16
394.871     0.8151
397.171     1.1287
399.44     0.7838
401.985     0.4703
404.326     0.8151
406.579     0.3762
409.015     -0.3449
411.536     0.1254
413.804     0.2822
415.991     -0.1254
418.416     -0.627
420.978     -0.8465
423.328     -0.9092
425.72     -1.2854
428.229     -0.6584
430.313     -1.16
432.875     -1.3481
435.257     2.1006
436.328     4.0444
438.107     0.3449
441.7     -1.5362
444.651     1.9752
445.873     4.1698
447.4     1.5676
450.637     -1.0346
453.921     -1.4735
456.309     -0.627
458.388     1.0346
460.158     1.3795
462.109     -0.5643
465.206     -1.5676
467.844     -0.5016
469.738     0.0941
471.954     -0.8465
474.617     -1.4108
477.252     0.9092
478.935     0.533
481.276     -0.0627
