Distance_nm     Force_uN
0     -0.7524
-0.015     -2.0379
-0.02     -1.16
-0.041     0.1568
-0.052     -0.1881
-0.036     -0.1254
-0.088     0.7211
-0.104     0.0627
-0.104     -1.9125
-0.12     -2.7903
-0.156     -2.3827
-0.167     -0.7838
-0.177     0.5016
-0.219     0.1881
-0.198     -1.16
-0.156     -1.6303
-0.135     -0.7524
-0.114     -0.7524
-0.114     -1.3481
-0.188     -1.2541
-0.208     -0.8465
-0.255     -0.1568
-0.255     0.3135
-0.235     0.0314
-0.318     -0.0314
-0.271     0.3449
-0.25     -0.3449
-0.255     -1.1287
-0.349     -1.2541
-0.391     -0.8465
-0.334     -0.8778
-0.402     -1.8497
-0.438     -2.9157
-0.422     -2.2573
-0.422     -0.2822
-0.443     -0.1568
-0.485     -1.6303
-0.506     -1.8497
-0.516     -0.533
-0.485     -0.2195
-0.454     -0.6584
-0.516     -0.4703
-0.511     -1.16
-0.501     -1.5049
-0.537     -1.0346
-0.584     -1.0346
-0.605     -0.7524
-0.652     -0.627
-0.689     -1.2227
-0.657     -0.9719
-0.642     -0.8151
-0.637     -1.6616
-0.642     -2.4454
-0.642     -2.2887
-0.626     -0.8151
-0.704     0.2822
-0.71     0.0627
-0.663     -0.8151
-0.595     -1.1287
-0.584     -0.3449
-0.605     1.0973
-0.621     0.6897
-0.616     -1.0346
-0.584     -1.3168
-0.631     -1.066
-0.631     -0.2508
-0.616     0.3135
-0.595     -0.3762
-0.558     -1.5049
-0.532     -1.9438
-0.475     -1.066
-0.469     0.0314
