Distance_nm     Force_uN
0     1.053
0.011     -0.486
0.169     -0.486
0.253     0.405
0.263     0.405
0.474     0.162
0.564     -0.729
0.637     0.486
0.779     -0.324
0.885     -3.159
0.958     -2.835
1.09     0.648
1.132     0.243
1.274     0.405
1.348     -0.324
1.453     -0.972
1.68     0.972
1.69     2.187
1.901     1.377
1.964     0.729
2.048     -0.486
2.201     -1.458
2.29     -0.081
2.38     1.458
2.548     2.754
2.58     2.106
2.859     3.159
2.917     5.346
3.106     1.782
3.191     0.891
3.328     0.81
3.443     1.215
3.633     1.863
3.823     4.374
3.959     2.997
3.986     1.458
4.317     2.673
4.412     3.24
4.528     2.268
4.66     2.592
4.776     2.835
5.107     1.62
5.128     3.078
5.255     3.564
5.47     2.592
5.544     3.078
5.665     2.025
5.918     1.215
5.95     1.701
6.297     3.24
6.392     2.754
6.808     2.187
6.882     3.159
6.997     1.782
7.355     1.701
7.324     3.564
7.703     4.455
7.85     5.346
7.977     6.966
8.319     6.723
8.35     6.561
8.714     6.48
8.861     6.885
8.961     6.723
9.224     8.019
9.388     8.91
9.456     7.533
9.94     7.938
9.956     8.991
10.267     9.234
10.525     8.424
10.593     7.857
10.936     7.857
11.172     8.991
11.209     9.477
11.736     7.371
11.804     4.374
12.057     5.589
12.51     4.131
12.52     5.427
13.063     5.589
13.178     5.103
13.373     6.723
13.742     8.1
13.858     8.667
14.142     8.829
14.563     6.885
14.574     8.181
15.279     9.72
15.384     9.396
15.59     9.477
15.958     8.991
16.201     8.586
16.853     9.315
17.017     9.234
17.232     11.178
17.701     10.449
17.901     9.882
18.596     9.801
18.812     8.667
18.986     11.016
19.486     12.636
19.781     9.558
20.423     10.206
20.771     10.854
20.955     9.315
21.45     10.692
21.881     11.259
21.95     11.745
22.908     14.094
22.971     13.608
23.456     11.826
23.993     11.259
24.172     13.527
24.614     13.122
25.335     13.446
25.688     15.147
26.315     15.066
26.567     14.985
26.852     16.2
27.81     17.172
28.121     18.468
28.873     17.658
29.184     17.01
29.431     15.795
30.6     15.228
30.621     16.605
32.011     17.82
32.085     17.415
33.064     18.306
33.559     19.035
33.744     17.496
34.528     18.63
35.144     22.194
35.255     23.571
36.687     22.356
36.808     22.275
37.666     21.222
38.345     20.493
38.598     22.923
39.367     23.085
40.225     23.571
40.304     22.032
41.873     17.253
42.089     4.05
42.768     3.402
43.931     3.078
43.979     2.106
45.611     0
45.843     -2.349
46.448     -3.159
47.559     -3.24
47.785     -4.617
48.38     -4.212
49.828     -3.564
49.881     -4.05
51.487     -3.726
51.845     -2.754
52.271     -2.187
53.887     -1.944
54.372     -1.296
55.567     -1.62
56.13     -3.402
56.509     -3.888
58.347     -3.078
58.7     -3.564
60.611     -3.564
60.627     -3.564
62.064     -1.701
62.88     -3.321
63.096     -2.997
64.296     -1.701
65.212     -1.053
66.492     -2.187
67.44     -1.539
67.666     -1.134
69.814     -2.106
69.919     -1.053
71.088     -1.134
72.241     -1.215
72.473     -0.729
73.515     -0.405
74.811     -0.81
75.8     0.648
77.111     1.377
77.311     0.972
78.185     0.486
79.844     -2.025
79.828     -2.43
81.981     -1.296
82.261     -1.62
82.992     -0.486
84.856     -0.486
84.856     -1.458
87.01     -0.729
87.483     0.243
87.984     0.81
90.042     1.701
90.484     1.539
92.043     0.81
92.727     -0.486
95.312     1.377
95.544     1.134
97.876     1.458
97.919     0.81
99.703     0.486
100.672     0.405
100.883     3.078
103.315     3.483
103.505     1.944
104.842     1.944
106.079     0.81
107.396     3.159
108.791     3.402
108.817     3.483
111.276     2.43
111.439     3.888
112.618     5.508
114.288     7.29
114.335     5.346
116.83     6.237
117.02     5.589
117.915     6.318
119.821     6.156
120.527     6.399
122.248     7.776
122.743     6.561
125.086     9.477
125.528     10.449
126.039     10.935
128.329     7.614
128.782     9.234
130.435     11.988
131.136     10.368
131.494     11.502
133.994     12.069
134.284     10.287
135.874     11.259
136.906     11.745
137.106     12.231
139.796     14.661
139.849     14.337
141.471     16.2
142.566     16.848
142.776     16.2
145.451     17.01
145.609     17.901
146.973     17.901
148.378     17.982
148.542     18.549
149.795     21.546
151.49     23.004
151.479     24.057
154.249     23.733
154.486     23.328
155.439     25.596
157.355     24.3
158.187     25.029
160.214     26.73
160.288     23.976
162.778     28.026
163.199     27.702
163.805     28.755
165.526     31.185
166.121     30.537
166.716     30.78
169.133     32.076
169.075     30.942
171.318     32.724
172.05     34.344
172.371     34.02
174.961     36.612
175.288     35.559
177.947     35.478
178.252     37.665
179.847     38.151
180.99     37.179
181.195     38.232
183.922     41.148
183.996     40.743
185.607     41.229
186.971     45.522
187.16     43.011
189.961     46.089
190.088     46.089
191.372     44.631
192.904     47.547
193.126     46.089
194.289     44.874
196.19     50.463
197.18     49.815
198.922     51.921
199.159     51.516
200.081     50.949
202.239     54.432
202.255     53.136
204.846     54.189
205.293     57.348
205.256     57.915
207.804     57.429
208.331     57.996
208.963     58.644
211.432     66.015
211.453     63.909
213.833     65.286
214.523     65.205
214.933     62.451
217.571     68.769
217.576     68.04
219.767     70.47
220.762     72.414
221.014     74.844
223.778     78.894
223.805     77.436
225.642     78.003
226.88     77.598
227.106     76.626
229.933     79.056
230.118     78.327
232.95     83.511
