Distance_nm     Force_uN
0     3.969
2.971     0.729
9.884     -1.458
14.341     -2.106
21.51     -2.349
28.455     -1.782
35.362     0.081
42.216     0.324
48.964     1.458
55.636     3.321
62.457     4.05
69.107     3.321
76.429     4.293
83.441     5.67
90.015     5.022
97.365     3.564
104.835     2.916
111.839     3.321
119.201     3.726
125.971     3.726
132.883     3.483
140.354     0.81
148.069     -1.62
155.817     -1.944
163.195     -2.025
177.37     -2.835
184.533     -2.106
190.887     -0.324
197.532     1.62
204.101     2.673
210.878     1.944
218.529     2.268
225.568     5.022
231.655     6.561
238.531     6.48
245.53     3.078
253.689     1.377
261.553     1.458
268.114     0.972
275.404     0.405
282.748     0.486
289.704     0.324
297.219     -0.081
304.471     -0.648
311.536     -0.729
318.881     -1.296
325.88     -1.215
332.918     -0.729
340.242     -0.972
347.236     -1.215
354.658     1.053
361.321     4.617
367.305     6.156
374.526     5.346
381.904     2.754
389.564     1.782
397.314     3.321
403.942     3.078
411.019     0.162
419.293     -1.863
426.783     -2.349
434.024     -1.215
441.025     0.486
447.643     0.243
455.164     0
462.454     -0.891
469.869     -2.106
477.833     -0.405
484.484     2.187
490.911     2.835
498.274     1.701
505.491     1.134
512.984     1.863
520.325     3.888
526.872     4.374
534.328     3.645
542.012     2.025
549.509     0.243
557.395     -0.972
565.211     -2.754
572.866     -3.888
580.792     -2.349
587.667     -0.405
594.384     0.324
601.923     -0.486
609.316     -1.944
617.016     -1.377
624.417     -0.162
631.232     0.162
638.551     0.243
646     0.567
653.154     1.539
660.578     4.293
667.34     5.184
674.472     3.807
682.628     2.268
690.333     -0.162
698.476     -0.567
706.55     -1.296
