Distance_nm     Force_uN
0     -0.486
-0.033     1.053
-0.119     3.24
3.587     5.832
10.475     7.452
17.724     6.237
25.457     1.215
34.628     -0.972
42.903     0.324
49.942     1.458
57.306     2.997
64.28     2.673
71.823     -1.377
80.731     -5.265
88.922     -5.67
96.321     -1.539
102.877     3.969
108.617     5.751
115.246     3.807
123.176     -1.539
131.677     -4.455
139.753     0.648
145.784     2.106
152.517     0.567
160.485     2.835
166.967     5.913
173.181     7.371
180.358     2.592
188.674     -1.782
196.962     -1.377
204.324     0.729
210.817     4.05
217.311     4.455
224.673     0.648
232.792     -0.405
240.581     0.405
247.752     -1.62
255.39     -3.726
263.479     -1.134
269.972     1.863
276.389     0.891
284.402     -0.81
292.168     1.053
299.121     3.159
306.288     4.05
313.19     4.698
320.651     4.617
335.337     3.159
343.333     -0.567
351.874     -4.131
360.307     -3.726
367.801     -2.106
374.737     0.324
381.553     0.729
389.393     1.053
396.711     2.106
404.064     3.078
411.471     3.726
418.636     2.916
426.589     -0.324
435.181     -2.106
443.1     -2.916
450.938     -1.458
457.654     -0.162
464.924     0
472.731     3.402
478.841     5.346
485.772     4.617
493.621     0.243
502.14     -2.673
510.611     -3.402
518.032     -3.564
525.235     -0.243
532.124     2.106
538.666     5.103
545.017     6.642
552.107     2.673
560.385     0
568.445     -2.835
576.681     -3.078
583.905     0.648
590.405     1.539
597.884     0.081
605.189     0.81
612.217     3.888
618.711     7.047
624.87     5.022
633.15     -0.162
641.97     -3.645
650.183     -4.293
658.306     -2.025
664.821     0.243
671.467     0.648
679.126     1.863
685.957     3.807
692.888     5.994
699.82     6.966
706.782     5.103
714.937     1.134
723.379     -2.835
731.773     -4.374
739.922     -2.673
746.886     0.081
753.566     2.673
760.651     1.539
768.165     -1.053
776.401     -1.053
784.087     -0.081
791.017     0.972
798.221     2.349
805.486     1.215
813.213     2.673
820.687     2.754
828.268     0.81
836.247     -1.377
844.457     -1.782
851.873     2.187
858.209     3.24
865.791     2.592
873.273     4.212
880.357     4.293
888.054     6.156
894.842     7.047
902.485     2.916
911.284     -2.268
920.021     -5.508
928.728     -4.374
936.009     0.243
942.236     1.701
949.792     1.053
957.553     2.106
964.889     0.729
972.995     1.215
980.121     -0.162
988.227     0.486
996.002     6.48
1001.956     8.91
1009.299     5.67
1017.71     -0.243
1026.759     -2.268
1035.369     1.134
1041.841     3.321
1048.904     1.458
1057.355     -2.835
1065.786     -4.86
1073.886     -1.863
1080.994     1.296
1087.729     2.754
1095.219     2.592
1103.096     2.43
1110.612     2.511
1118.407     1.053
1126.387     -1.215
1134.585     0.486
1142.124     1.782
1149.23     2.592
1156.533     3.564
1164.269     4.131
1171.653     2.025
1180.055     -1.782
1188.997     -0.567
1196.272     2.592
1203.205     2.916
1210.836     2.673
1218.439     0.567
1226.972     -0.891
1234.869     -1.377
1242.439     -1.539
1250.596     0.405
1257.576     0.243
1265.421     -0.324
1273.522     2.349
1280.24     2.349
1287.926     2.592
1295.513     3.321
1302.92     0.243
1311.912     -0.486
1319.728     3.159
1326.102     0.243
1334.919     -2.511
1343.199     -1.377
1350.546     1.134
1357.9     2.187
1364.989     1.458
1372.969     -1.296
1381.677     -1.134
1389.023     3.321
1395.804     4.698
1403.167     1.458
1411.759     -0.162
1420.276     -1.296
1428.201     -0.324
1435.707     0.243
1443.816     0.729
1459.434     -0.729
1468.056     -1.539
1476.025     1.296
1483.045     2.025
1490.781     1.053
1498.679     1.863
1506.788     1.863
1514.754     0.648
1522.766     -1.944
1531.677     -2.349
1539.604     -2.187
1547.295     -1.539
1555.365     0.891
1562.428     2.106
1570.165     2.349
1578.361     2.511
1585.92     -0.324
1594.814     -1.377
1603.376     2.025
1610.178     5.913
1617.325     6.561
1625.034     2.511
1633.778     -1.782
1643.229     -3.807
1651.642     -2.511
1659.142     2.025
1665.984     4.779
1672.993     2.106
1681.892     -1.539
1691.07     -3.969
1699.361     -1.863
1706.71     2.106
1713.473     3.24
1721.051     3.564
1729.143     1.296
1737.752     -1.539
1746.35     -1.701
1754.639     -1.863
1762.499     -0.405
1770.137     2.592
1777.394     1.62
1784.354     0.162
1792.975     -0.081
1800.956     1.539
1808.156     3.645
1815.767     2.592
1823.819     0.972
1832.056     1.053
1840.263     1.701
1847.856     0.405
1856.286     -1.944
1865.049     -3.159
1872.98     -2.916
1881.06     -1.62
1888.824     -1.377
1896.527     -1.944
1904.809     1.539
1911.836     6.156
1918.556     7.209
