dDisplacement_nm_ori     dForce
-0.879     -1.2227
3.687     4.3892
7.95     9.1547
11.555     14.0455
18.671     27.8716
22.271     32.7625
25.958     39.9107
29.419     46.275
36.659     60.8222
39.95     70.165
43.663     74.5542
50.728     81.0127
54.369     91.5782
57.876     96.375
64.972     117.2552
68.459     119.3871
72.11     118.039
75.771     124.905
82.872     140.2359
86.256     151.3658
89.778     159.0156
97.127     166.0383
100.659     174.6287
104.331     182.059
111.376     196.1986
115.073     200.8073
118.57     207.2658
122.288     215.6053
129.26     231.1244
133.025     236.5796
136.598     241.5018
144.122     254.6695
147.634     262.0057
151.259     268.9031
158.448     280.2838
162.212     286.3346
165.914     292.8244
173.407     303.7348
176.831     309.9111
180.529     317.0592
184.334     324.2074
191.636     341.5762
195.385     348.7558
198.773     355.5277
206.363     364.9019
210.081     369.8868
213.922     379.1982
217.506     387.2556
224.896     403.2136
228.552     411.992
232.316     415.6915
239.706     426.0689
243.552     432.8722
247.146     440.5847
254.69     456.5114
258.31     463.1893
262.09     472.9083
269.464     485.6057
273.361     490.2771
277.136     496.2966
280.761     503.1626
288.423     517.2395
292.018     525.2969
295.874     530.6267
303.428     546.8668
307.28     551.3501
310.946     559.0626
314.751     568.8443
322.244     590.3829
326.208     596.3397
329.978     601.9203
337.645     618.0664
341.28     624.9011
345.106     632.3941
352.722     646.4083
356.661     655.1554
360.574     663.6517
364.179     669.1696
371.907     681.3654
375.759     687.9806
379.734     695.6618
387.355     709.3311
391.227     716.5733
394.95     724.662
402.853     738.3941
406.612     746.3574
410.536     753.4115
418.146     769.2127
422.142     774.9501
425.86     783.0388
429.794     793.0086
437.502     806.5839
441.441     814.2024
449.19     821.4759
457.083     834.8004
460.832     839.7539
464.802     846.6827
472.598     865.6818
476.614     872.5478
480.424     878.5673
484.368     885.496
492.051     900.4821
496.098     911.6119
499.97     919.6379
507.935     932.3981
511.658     939.076
515.69     945.8479
523.511     958.6708
527.527     965.286
531.451     973.3433
535.163     983.5013
543.201     999.2084
547.16     1005.6042
551.156     1011.3415
558.925     1025.3244
558.925     1025.3244
566.85     1042.1915
574.465     1058.3063
578.394     1065.5172
582.462     1072.2891
590.509     1089.5639
594.412     1096.3045
598.336     1103.9229
606.661     1118.0312
610.6     1126.1826
614.626     1135.9016
618.462     1141.9839
626.551     1156.7818
630.315     1164.7451
634.475     1173.0847
642.132     1188.1021
646.251     1195.4071
650.442     1203.6839
658.479     1218.5132
662.351     1225.9436
