Distance_nm     Force_uN
0     4.131
0.181     0.567
0.428     1.539
2.468     1.863
9.693     -0.405
16.786     -0.486
24.29     -1.377
32.025     -1.215
39.283     -0.81
47.018     -2.592
54.44     -3.726
61.385     -2.106
69.054     1.782
76.278     4.05
83.306     3.645
90.942     4.617
98.133     5.67
105.309     4.536
112.863     6.156
119.643     7.128
127.081     4.779
134.586     2.43
141.597     1.701
148.92     -0.648
156.211     -1.863
163.337     -2.106
170.792     -0.648
177.918     -1.701
185.356     -3.564
193.009     -5.022
200.233     -3.969
207.688     0.891
215.259     4.212
222.5     4.455
230.037     6.237
237.542     6.399
244.717     4.455
252.188     4.212
259.43     5.265
266.621     6.885
274.356     5.184
281.482     0.567
288.806     -1.215
296.491     0
303.568     0.648
311.088     -0.81
318.675     -4.779
325.818     -5.589
333.289     -1.458
340.744     0.729
347.919     0.486
355.457     0.162
362.863     -0.567
370.137     -0.405
377.608     1.458
384.783     4.05
392.156     6.804
399.694     7.047
406.836     5.346
414.39     3.969
422.108     0.567
429.25     -1.377
436.722     -2.106
444.045     -3.402
451.254     -1.053
458.988     0.567
466.263     -1.377
473.487     -2.268
481.222     -2.43
488.315     -0.729
495.704     0.729
503.307     -0.648
510.565     0.324
517.971     0.405
525.245     -0.081
532.371     3.564
540.106     5.832
547.297     5.184
554.259     3.483
561.895     1.539
569.037     0.405
576.245     1.539
583.75     2.592
590.711     1.458
598.002     -1.215
605.506     -2.025
612.599     -0.972
619.972     0.081
627.213     -0.81
634.191     -1.458
641.514     -0.972
648.706     -1.053
655.848     0.567
663.254     1.377
677.638     1.296
685.027     3.645
692.071     4.779
699.427     4.374
706.865     4.05
713.843     4.293
721.364     4.86
728.671     1.944
735.83     -2.349
743.252     -4.536
750.263     -5.265
757.52     -2.997
765.14     -0.486
772.052     0.891
779.589     3.078
787.193     2.43
794.236     -0.648
801.724     -0.81
809.048     1.701
816.174     3.645
823.843     2.349
831.265     -0.81
838.374     0.081
845.945     4.374
853.169     7.128
860.657     4.698
868.277     0
875.419     -3.078
882.858     -3.24
890.461     -1.458
897.686     -0.648
905.388     -1.134
912.81     -2.187
919.886     -2.997
927.506     1.62
934.764     4.05
942.153     1.134
949.871     -0.648
957.03     0.81
964.337     2.835
972.105     3.726
979.412     4.86
986.916     4.293
994.421     3.159
1001.662     1.539
1009.364     0.81
1016.835     0.972
1024.093     -1.215
1031.729     -1.539
1039.069     -2.268
1046.441     -2.43
1054.275     -0.081
1061.434     0.243
1068.79     0.648
1076.476     2.43
1083.733     2.43
1091.501     0.486
1099.038     -0.972
1106.247     0.972
1113.833     4.698
1121.239     7.533
1128.579     7.857
1136.413     4.86
1143.703     -0.891
1151.125     -4.536
1158.975     -2.349
1166.315     -0.324
1173.984     -0.405
1181.686     0.324
1188.944     -1.701
1196.629     -3.321
1204.265     -1.62
1211.737     -0.405
1219.488     0.81
