Distance_nm     Force_uN
0     0.648
0.049     -1.539
0.707     -0.891
6.319     -0.162
13.906     3.564
21.789     5.103
29.211     2.835
36.6     0.972
44.286     -0.729
51.741     -0.486
59.41     1.377
67.062     1.215
74.254     -0.081
81.792     -0.81
89.296     0.081
96.619     1.782
104.437     4.212
111.875     3.645
119.1     1.053
126.67     -1.863
134.059     -2.592
141.498     -1.134
149.167     0.567
156.359     6.642
163.814     11.826
171.45     5.265
178.773     -2.997
186.294     -6.156
193.7     -9.396
201.073     -3.969
208.808     5.913
216.147     9.315
223.504     6.561
231.354     0.891
238.48     -4.455
246.034     -3.645
253.735     0.567
260.499     4.293
268.185     1.944
275.772     0.648
282.98     3.24
290.83     2.916
298.071     3.402
305.378     3.24
313.113     -0.567
320.486     -1.782
328.155     -1.053
335.922     -0.81
343.114     0.324
350.783     3.969
358.222     6.561
365.298     3.888
372.885     1.134
380.34     -2.511
387.532     -6.237
395.234     1.215
402.557     6.642
409.946     8.586
417.517     6.804
424.462     2.106
431.818     -3.969
439.52     -3.726
446.563     -1.458
453.92     0.324
461.507     4.86
468.748     6.399
476.515     4.86
483.789     3.24
491.113     -1.053
498.881     -4.212
506.023     -2.916
513.445     1.944
521.229     5.994
528.553     4.293
535.958     1.053
543.381     -2.43
550.49     -1.782
558.208     2.268
565.729     3.321
572.938     2.43
580.788     0.486
588.144     0.567
595.418     0.972
603.136     1.215
610.46     1.701
617.948     0.486
625.716     1.215
632.874     2.997
640.478     2.43
648.081     1.134
662.925     -0.567
670.347     -1.539
677.687     0.243
685.685     0.972
693.042     2.754
700.464     3.24
708.347     0.729
715.719     1.539
723.537     1.377
731.288     2.349
738.463     3.483
746.428     0.567
754.213     -0.891
761.553     -0.162
769.501     0.405
777.022     2.916
784.461     3.402
792.327     2.835
799.749     1.539
807.221     -0.486
815.022     -1.296
822.197     -0.81
829.948     1.134
837.667     3.564
844.908     2.997
852.643     1.701
860.361     -0.324
867.668     -2.187
875.452     -2.106
882.924     0.567
890.412     3.24
898.179     2.268
905.585     1.215
913.287     1.215
921.137     0.567
928.543     1.782
936.426     0.729
944.309     0.324
951.533     0.729
