Distance_nm     Force_uN
0     -1.2854
-0.016     -0.7838
-0.047     0.4076
1.644     0.8465
3.503     -0.8465
3.67     -2.226
3.681     -2.2573
3.722     -0.2508
3.754     2.1633
3.748     3.7622
3.748     3.48
3.764     0.6584
3.842     -1.3481
3.837     -0.7838
3.764     1.3168
3.785     2.6335
3.874     1.3481
3.9     -0.9405
3.931     -2.0692
3.921     -1.5989
3.889     -0.1568
3.926     0.9405
3.952     0.2822
3.968     -0.8465
3.978     -1.8497
4.03     -1.0346
4.046     1.4422
3.973     2.6335
3.895     1.9125
3.957     0.7211
3.942     -0.5643
3.931     -0.9092
3.926     -0.1881
3.916     1.3168
3.889     2.8216
3.905     2.5081
3.957     0.6897
3.942     -0.2508
3.926     -0.8151
3.9     -0.9405
3.874     -0.4389
3.869     -0.9092
3.874     -0.9405
3.9     -0.9405
3.889     -0.7524
3.889     0.8778
3.858     2.2887
3.795     2.5081
3.79     1.4108
3.795     -0.0941
3.822     -0.1568
3.733     1.0346
3.639     1.8497
3.623     1.8184
3.644     0.8151
3.665     -0.5643
3.675     -1.0033
