Distance_nm     Force_uN
0     -3.888
0.276     -0.162
1.367     3.807
1.275     6.399
1.764     6.48
1.935     18.63
3.605     12.231
4.821     15.309
4.37     21.303
4.502     22.194
4.574     35.235
2.887     43.092
5.383     40.824
4.639     49.653
4.933     48.843
7.658     49.248
6.968     52.326
8.041     55.809
6.401     69.984
6.697     68.769
8.174     75.573
7.683     78.975
9.373     84.159
8.697     87.885
10.728     83.916
10.661     92.016
8.989     101.007
9.729     110.97
9.756     111.861
10.704     111.78
11.455     118.422
12.495     112.752
11.907     129.114
11.687     132.111
12.686     130.329
13.011     137.943
12.608     141.75
12.5     145.476
13.472     152.199
13.027     156.897
13.956     161.676
14.093     163.701
13.962     166.779
14.932     174.879
16.295     167.751
15.869     180.306
17.514     176.58
17.119     179.82
18.628     185.49
18.04     188.406
17.8     199.503
19.368     197.559
19.041     199.665
19.591     204.606
20.178     208.332
19.128     221.373
20.596     220.482
21.589     216.675
23.067     223.236
22.876     224.694
21.817     236.277
22.376     241.461
22.031     244.053
21.666     251.829
23.699     250.695
23.181     258.39
23.729     264.708
24.286     262.683
24.586     276.372
23.847     279.936
25.675     283.986
25.127     288.279
24.933     292.329
25.377     299.457
25.41     302.292
26.346     300.267
25.473     316.953
26.877     312.174
28.109     315.333
27.936     319.302
27.781     321.975
29.484     326.673
30.306     324.405
31.108     329.346
30.702     335.826
31.673     332.262
33.432     337.365
31.846     346.113
32.447     351.216
32.609     356.724
33.01     362.718
33.117     368.793
32.725     371.385
33.034     376.974
32.916     385.722
33.276     390.582
33.058     399.573
34.087     394.875
34.964     396.414
32.983     415.53
34.263     414.477
35.162     418.851
35.95     416.016
37.095     424.035
37.211     425.088
36.191     434.241
36.937     439.749
36.643     442.827
37.993     448.578
38.334     449.955
38.2     453.681
38.362     465.507
38.865     462.753
39.959     469.314
39.789     473.769
39.633     476.685
40.125     483.57
40.094     487.62
39.905     499.122
41.947     493.938
42.308     493.29
43.118     497.664
42.344     507.141
42.058     509.652
44.463     511.92
44.036     514.269
44.443     520.182
46.447     517.347
45.149     524.313
44.749     541.08
45.145     539.784
45.39     545.535
47.509     542.943
47.284     544.806
47.387     550.476
47.101     561.411
47.608     558.981
47.786     571.941
47.767     573.48
48.592     573.804
49.394     580.932
48.649     584.577
49.503     595.998
50.391     595.188
51.661     598.104
51.421     601.911
52.275     600.696
51.433     617.463
50.969     619.65
53.428     619.569
53.627     621.918
54.168     621.189
55.636     627.588
55.244     629.208
55.532     639.09
55.124     645.813
55.13     646.704
55.835     657.396
55.845     657.558
57.376     659.745
57.544     665.091
57.533     666.387
57.811     672.948
57.354     682.182
59.718     677.889
60.177     683.073
59.091     689.553
60.028     691.659
60.336     698.625
59.876     700.974
60.936     710.208
61.637     707.859
61.462     714.501
61.984     721.791
61.123     730.701
61.227     739.449
61.905     737.586
62.826     737.586
62.869     749.007
61.833     754.11
63.32     759.942
64.571     756.135
64.734     758.322
65.173     769.5
64.542     772.497
65.355     780.354
64.468     788.373
65.131     787.239
66.416     794.529
65.12     803.277
66.315     806.355
68.16     801.657
68.239     802.791
67.796     819.72
68.337     817.857
69.907     818.829
68.504     831.951
68.964     830.412
70.346     838.431
69.95     840.699
69.749     849.366
70.975     850.581
70.757     853.092
70.309     870.021
69.56     874.476
69.991     878.769
71.124     882.9
