Distance_nm     Force_uN
0     1.3481
-0.661     1.4735
-0.542     2.6335
0.971     3.7622
3.126     3.386
5.869     0.9092
9.137     -2.6335
12.828     -3.0725
15.488     -0.8465
17.146     1.3481
18.887     3.5114
20.592     3.8876
22.861     2.2573
25.978     0.3135
29.064     -0.8465
31.833     4.4519
32.486     5.0163
34.686     2.4141
37.965     -0.1254
41.337     0.1568
43.544     1.9438
45.387     3.0411
47.469     2.6022
49.952     1.4108
52.825     0.5643
55.535     0.3762
57.901     0.2195
60.377     -0.1568
62.812     0.0314
65.108     0.5957
67.355     0.8151
69.521     0.7524
71.886     1.1287
74.171     2.2887
76.023     3.3546
78.037     3.2919
80.393     2.5081
81.807     2.32
81.829     2.3827
81.698     2.5081
81.546     2.2573
81.547     1.2541
81.856     0.4076
82.091     0.3449
82.076     0.3135
82.06     1.16
81.674     1.9125
81.398     1.2854
81.553     -0.533
82.143     -1.8497
82.553     -0.5643
82.086     2.0692
81.167     3.7308
80.552     3.9817
80.42     2.9471
80.75     1.787
81.174     1.9752
81.074     2.2887
80.988     1.8184
81.148     1.2227
81.324     0.8151
81.451     2.0379
81.047     3.2919
80.565     2.5395
80.815     0.0314
