Distance_nm     Force_uN
0     -4.374
-0.302     -3.159
-0.637     -4.941
-0.161     -6.075
0.162     -6.399
0.312     -5.832
0.15     -0.81
-1.2     1.782
-1.817     3.645
-2.283     1.539
-1.737     -1.701
-0.867     -4.698
-0.031     -4.212
-0.119     -0.081
-1.189     1.296
-1.54     -1.215
-0.808     -1.863
-0.629     1.458
-1.573     0.243
-1.244     -1.863
-0.603     -2.835
-0.26     -0.972
-0.762     5.508
-2.5     1.782
-1.465     -2.754
-0.234     -1.053
-0.724     1.62
-1.416     -2.511
-0.283     -4.536
0.299     -2.916
-0.112     -0.081
-0.836     -1.539
-0.411     -4.374
0.409     -4.293
0.429     -0.648
-0.59     3.402
-1.67     1.863
-1.207     -2.916
0.115     -1.701
-0.188     1.134
-0.923     -1.458
-0.19     -5.994
1.057     -3.645
0.42     0.648
-0.736     4.374
-1.698     3.564
-1.471     2.43
-1.142     1.134
-0.776     2.187
-0.925     2.592
-1.091     -1.782
0.097     -1.458
0.1     -0.081
-0.22     -0.81
-0.068     -2.106
0.315     -4.455
0.994     -2.997
0.605     -4.212
0.945     -5.832
1.345     -4.86
1.112     -4.941
1.213     -5.508
1.401     -3.402
0.855     -3.078
0.811     -0.891
0.254     0.648
-0.188     -1.701
0.407     -2.025
0.593     0.081
0.11     0.324
0.04     0.162
0.078     2.43
-0.442     3.888
-0.757     5.427
-1.184     2.997
-0.588     2.835
-0.487     3.807
-0.678     0.648
0.175     0.081
0.332     2.673
-0.354     2.916
-0.372     0.972
0.178     0.324
0.34     2.673
-0.228     2.916
-0.24     2.835
-0.213     1.377
0.202     -1.134
0.903     1.701
0.194     4.212
-0.454     3.321
-0.169     2.835
-0.008     -1.053
1.082     -2.997
1.595     -2.997
1.589     -2.43
1.459     -2.187
1.463     2.997
0.123     6.156
-0.736     7.29
-0.996     6.075
-0.603     5.427
-0.373     3.645
0.102     5.67
-0.453     6.399
-0.6     4.05
0.052     1.782
0.678     1.863
0.625     2.835
0.461     1.458
0.923     2.187
0.691     -0.81
1.496     -0.405
1.425     2.268
0.733     3.159
0.564     3.969
0.4     5.508
0.043     4.455
0.329     4.698
0.311     3.645
0.555     2.916
0.797     7.452
-0.349     11.016
-1.263     9.882
-0.934     10.044
-0.946     11.502
-1.308     9.639
-0.775     7.695
-0.204     6.318
0.179     3.564
0.966     2.592
1.278     1.782
1.51     7.209
0.1     9.72
-0.517     9.072
-0.244     7.533
0.192     8.1
0.031     4.293
1.077     1.944
1.714     3.24
1.427     3.807
1.318     2.835
1.629     3.321
1.521     8.262
0.177     5.589
0.921     3.564
1.577     3.483
1.646     3.483
1.704     4.455
1.419     7.29
0.715     7.047
0.843     6.561
0.962     3.402
1.81     1.782
2.284     0.891
2.601     4.374
1.751     2.673
2.226     -0.405
3.115     1.539
2.665     6.723
1.293     6.237
1.449     4.779
1.932     5.103
1.883     6.48
1.505     5.67
1.758     5.994
1.74     4.212
2.231     1.62
2.954     4.131
2.384     5.265
2.119     3.969
2.433     6.318
1.875     6.723
1.872     6.237
2.065     4.455
2.53     3.24
2.859     3.969
2.754     2.592
3.211     4.86
2.59     6.885
2.108     7.776
1.939     9.882
1.446     9.234
1.613     5.67
2.574     5.67
2.653     8.343
2.046     8.262
2.146     6.642
2.557     3.564
3.394     3.645
3.472     6.642
2.726     3.969
3.465     2.025
4.004     2.835
3.888     2.916
3.935     3.321
3.838     3.24
3.912     2.754
4.162     3.564
3.989     2.43
4.28     5.832
3.447     7.938
2.959     6.48
3.374     4.698
3.855     5.103
3.805     6.561
3.479     8.667
2.981     6.723
3.541     6.237
3.697     9.153
3.004     10.449
2.705     12.231
2.278     10.692
2.735     9.315
3.213     10.449
2.984     13.122
2.272     11.745
2.697     10.854
3.029     8.586
3.681     10.935
3.034     13.284
2.455     15.39
2.056     10.854
3.356     12.393
2.893     14.904
2.228     13.284
2.792     10.449
3.632     9.639
3.917     10.368
3.759     10.287
3.854     7.776
4.613     10.935
3.771     11.421
3.678     10.206
4.086     15.795
2.696     18.306
2.079     14.904
3.023     13.608
3.432     11.583
4.067     11.583
4.156     11.907
4.075     14.58
3.483     15.228
3.4     14.418
3.658     13.365
3.944     17.172
2.998     19.521
2.519     14.742
3.814     12.069
4.548     12.069
4.637     11.097
5.012     11.34
4.974     15.228
3.979     18.306
3.259     19.845
3.006     21.222
2.681     19.197
3.221     16.929
3.931     17.01
4.041     17.577
3.927     18.306
3.722     20.574
3.191     20.007
3.489     17.253
4.313     19.764
3.665     22.68
2.982     20.736
3.627     16.848
4.748     17.739
4.526     19.359
4.12     24.705
2.863     31.104
1.278     26.649
2.497     24.057
3.21     25.272
3.049     25.92
2.992     24.462
3.381     22.518
3.962     21.465
4.369     20.493
4.755     20.088
4.916     21.141
4.672     20.493
5.008     18.063
5.772     19.683
5.376     23.085
4.601     23.895
4.58     23.652
4.671     24.219
4.551     25.596
4.305     25.272
4.544     25.596
4.489     22.437
5.379     22.437
5.49     23.409
5.388     25.272
4.971     27.621
4.349     30.78
3.644     28.107
4.599     23.004
5.981     24.057
5.753     28.35
4.713     28.836
4.763     25.92
5.635     25.92
5.614     25.839
5.762     27.378
5.551     28.107
5.452     28.998
5.225     28.917
5.341     26.325
6.327     30.456
5.32     30.294
5.364     24.543
7.05     25.515
7.017     26.811
6.793     26.082
6.982     27.459
6.672     28.026
6.732     26.649
7.199     26.325
7.333     26.73
7.367     30.456
6.589     29.403
6.996     28.593
7.291     29.97
7.008     31.509
6.809     31.914
6.832     31.59
6.934     30.294
7.375     27.945
8.296     30.942
7.665     35.883
6.4     35.478
6.55     33.939
7.208     29.727
8.516     28.917
8.748     32.805
7.8     33.615
7.853     35.802
7.48     37.26
7.107     34.911
7.792     34.911
8.071     36.207
7.951     37.665
7.642     35.073
8.354     36.612
8.196     34.992
8.87     37.179
8.356     40.662
7.479     42.768
7.218     41.067
7.93     43.092
7.4     42.93
7.464     44.712
7.226     46.818
6.954     50.463
6.129     47.385
6.987     47.709
7.148     50.301
6.81     52.083
6.408     50.787
6.78     48.924
7.53     47.709
8.249     48.195
8.193     46.818
8.565     49.896
7.997     51.03
8.063     48.6
8.79     52.326
7.812     51.921
8.152     46.899
9.891     44.712
10.622     49.086
9.492     55.08
8.084     56.943
8.024     55.809
8.521     55.485
8.623     58.887
7.869     60.669
7.841     58.968
8.484     58.644
8.676     60.507
8.379     63.504
8.054     65.286
7.805     65.124
7.827     62.37
8.735     60.426
9.733     60.345
9.986     64.881
8.845     68.283
8.075     64.719
9.551     60.426
10.97     62.046
10.543     66.501
9.487     69.255
9.311     69.741
9.513     70.551
9.334     71.847
9.109     75.897
8.566     76.545
8.82     72.576
9.894     71.766
10.742     75.654
10.152     79.866
9.077     77.679
9.755     76.221
10.686     75.087
11.467     81.81
9.738     83.268
9.38     81.081
10.501     80.514
11.289     81.81
11.022     87.48
9.521     92.097
8.816     90.558
9.842     89.1
10.326     88.614
10.45     90.477
10.422     91.206
10.917     93.474
10.507     95.175
10.059     92.907
11.122     90.396
12.56     94.932
11.519     98.01
10.735     97.362
11.377     98.253
11.871     95.904
12.697     99.468
11.789     104.247
10.852     106.839
11.024     103.194
12.296     100.035
13.202     97.767
14.17     102.627
13.69     107.325
12.695     106.515
12.942     106.434
13.259     111.861
12.712     115.344
12.173     114.048
12.571     112.185
13.368     111.942
14.365     115.83
13.765     117.693
13.31     112.509
14.919     115.182
15.143     120.447
14.245     122.391
13.742     124.578
13.438     124.902
14.363     123.444
15.273     121.176
15.914     127.575
14.387     132.84
13.941     129.195
15.561     127.251
16.095     129.438
15.649     132.84
15.757     133.407
16.275     134.865
15.981     135.837
15.848     134.541
17.168     138.348
16.958     140.373
16.476     144.909
15.356     152.361
14.322     156.978
13.938     156.33
14.232     151.47
15.602     151.065
16.589     153.333
16.937     157.788
15.875     157.059
16.086     157.221
16.922     161.595
16.766     162.162
16.778     162.162
16.862     165.888
16.632     170.91
16.336     170.019
16.763     170.991
16.567     175.608
16.104     179.091
16.323     179.01
16.587     175.527
17.537     176.904
17.859     184.68
16.991     189.459
15.938     187.191
16.58     186.3
17.507     187.434
18.5     190.512
18.042     187.191
18.939     187.272
19.464     192.294
19.426     194.4
19.243     192.942
19.627     196.263
19.262     203.796
18.575     203.472
19.104     198.936
20.371     200.961
20.242     206.388
20.137     209.871
19.756     208.575
20.149     207.522
20.835     215.055
20.222     215.217
20.8     213.84
21.183     216.027
20.905     216.513
22.118     217.971
22.435     221.778
21.472     221.697
21.704     220.806
23.269     226.152
22.712     230.121
21.695     233.037
21.118     235.143
21.883     235.143
22.826     241.704
21.234     246.402
21.192     247.698
21.884     242.109
23.458     239.679
24.196     247.86
23.188     254.178
22.667     252.396
23.269     242.838
25.902     242.919
27.007     251.019
26.042     252.639
25.789     252.801
25.83     252.72
26.884     257.904
26.786     265.437
24.945     266.895
24.551     265.437
25.909     270.054
26.047     273.537
25.313     275.643
24.777     276.534
25.409     282.285
25.386     286.011
24.65     286.497
24.468     287.145
25.096     291.357
25.499     290.952
25.96     288.036
26.753     290.466
26.79     293.949
27.414     294.84
27.55     295.812
27.265     295.326
28.047     302.616
27.641     307.962
26.663     308.124
26.598     310.068
26.67     309.177
28.524     308.043
29.389     306.828
29.782     309.663
29.51     320.031
28.299     322.785
28.18     321.246
28.622     321.327
28.98     330.642
28.065     331.047
28.715     328.536
29.416     332.748
28.624     339.228
28.487     339.39
29.28     338.175
29.562     336.474
30.242     344.007
29.734     352.917
28.29     353.808
28.079     352.674
28.581     353.079
29.916     356.4
30.036     359.559
29.267     364.014
28.248     365.148
29.367     362.637
31.2     364.5
30.75     369.441
29.57     374.463
29.52     380.295
29.176     376.893
30.183     375.597
30.666     388.233
28.47     396.495
27.578     393.012
28.691     392.445
28.879     397.953
28.485     408.078
27.232     408.807
27.264     402.246
29.051     403.461
29.769     408.483
29.931     412.371
29.131     414.639
28.547     413.343
29.835     410.913
32.052     410.103
32.568     412.614
31.935     418.122
31.278     419.661
32.457     416.421
33.679     419.58
32.847     425.493
31.85     428.976
32.611     428.409
33.341     429.219
33.136     432.216
32.81     441.936
31.893     446.715
31.276     443.718
32.06     442.017
32.924     450.765
32.266     452.466
32.539     452.223
32.598     452.385
32.95     455.544
33.771     454.572
34.862     455.22
34.658     458.784
34.029     468.18
33.139     468.18
34.082     463.968
35.273     465.993
34.939     472.878
34.687     473.445
35.61     470.61
36.403     473.85
35.702     487.539
33.531     494.424
32.87     490.698
34.09     489.159
35.885     493.938
35.879     497.583
35.012     496.611
35.33     494.262
37.267     503.577
36.204     508.923
34.879     509.166
34.83     509.409
35.95     513.621
36.353     515.16
36.085     515.241
