Distance_nm     Force_uN
0     2.835
0.016     2.106
1.382     3.321
8.179     0.81
15.552     -4.131
23.254     -7.29
30.874     -6.966
38.065     -4.05
45.866     -2.43
53.403     -4.212
60.677     -4.374
68.215     -2.025
75.472     0.486
82.779     2.106
90.399     -0.243
97.344     -4.293
104.503     -2.43
111.826     1.296
119.133     5.346
126.934     6.723
134.29     4.455
141.235     1.62
148.904     -2.025
155.964     -3.726
163.041     -2.187
170.463     -1.134
177.556     -0.486
184.813     -0.486
192.186     -2.268
199.148     -4.941
206.718     -7.371
214.173     -7.938
221.052     -5.427
228.507     -0.324
235.468     1.539
242.43     1.215
250.132     -0.324
257.34     0.081
264.663     4.455
272.003     5.751
278.849     4.779
286.173     2.592
293.546     -1.782
300.935     -1.863
308.291     -2.511
315.598     -4.617
322.625     -4.698
329.916     -3.159
337.206     -2.106
344.349     -3.807
351.688     -4.779
358.798     -3.321
365.99     -0.567
373.445     1.134
380.406     1.701
387.614     0.162
395.086     -2.106
401.998     -0.081
409.436     2.916
416.826     3.807
423.853     4.05
431.44     2.268
438.615     1.944
445.757     1.539
453.278     -0.81
460.207     -3.645
467.481     -5.427
475.1     -3.969
482.078     -2.106
489.434     -4.536
496.791     -5.994
503.785     -3.969
511.388     -2.916
518.613     -2.187
525.525     0
532.947     1.458
540.122     0.648
547.117     1.296
554.572     2.754
561.796     2.349
569.334     0.81
576.92     0.729
583.948     0.162
591.353     -1.863
598.71     -1.701
605.869     -1.863
613.505     -4.455
620.746     -6.075
627.987     -3.888
635.524     -0.324
642.667     1.458
650.089     1.701
657.511     0.405
664.555     -1.377
671.894     -1.782
679.432     -0.243
685.62     -0.243
693.091     -1.782
700.168     -1.944
707.36     -1.134
715.029     0.891
722.171     2.268
729.494     0.648
737.015     -1.296
744.125     -1.944
751.777     -1.215
759.315     -3.483
766.556     -5.913
774.159     -5.913
781.581     -4.779
788.789     -1.782
796.31     0
810.858     -0.567
818.527     -1.701
825.949     -1.539
833.437     -0.405
840.975     1.539
848.199     1.944
855.687     0.891
863.159     1.458
870.318     1.863
878.102     -0.243
885.574     -1.944
892.913     -2.754
900.731     -1.134
908.054     0.324
915.542     -1.782
923.112     -3.564
930.419     -3.159
938.105     -1.863
945.691     -0.486
952.817     -1.134
960.602     -1.62
968.205     -2.43
975.413     -2.106
983.131     -0.243
990.553     -0.648
997.877     -2.187
1005.595     0.243
1012.952     3.483
1020.538     4.212
1028.339     2.916
1035.531     -0.648
1043.15     -2.997
1050.787     -2.997
1058.258     -3.645
1066.174     -4.941
1073.645     -4.536
1081.166     -3.402
1088.983     -2.025
1096.29     -2.43
1103.927     -3.24
1111.826     -0.405
1119.182     1.62
1126.703     0.972
1134.537     -0.567
1142.123     -1.539
1149.924     -0.567
1157.445     -0.486
1164.736     -0.891
1172.569     -0.081
1180.057     -0.162
1187.562     -1.701
1195.642     -3.159
1203.13     -2.025
1210.453     1.539
1218.205     1.863
1225.495     -3.24
1233.23     -6.804
1240.85     -3.807
1248.288     0.324
1256.319     0.324
1263.923     -3.645
1271.46     -4.779
1279.409     -1.458
1286.814     0.891
1294.533     0.405
1302.531     -0.162
1310.019     0.648
1317.968     -0.324
1325.867     -2.754
1333.306     -3.726
1341.156     0
1348.742     4.536
1356.263     4.293
1364.36     -0.243
1372.029     -5.589
1379.698     -7.29
1387.713     -5.022
1395.135     -2.511
1402.771     -0.648
1410.638     -0.243
1418.34     -0.81
1426.371     0
1434.237     2.673
1441.791     3.726
1449.707     3.24
1457.343     1.62
1464.864     -2.106
1472.763     -5.67
1480.432     -6.723
1488.2     -2.43
1496.083     1.782
1503.818     1.863
1511.767     -0.972
1519.864     -2.43
1527.434     -0.729
1535.399     1.701
1543.364     -0.81
1550.967     -4.212
1559.015     -2.754
1566.47     1.296
1574.057     2.43
1582.17     1.215
1589.823     -1.215
1597.722     -3.807
1606.066     -3.969
1613.669     0.243
1621.585     1.539
1629.583     -1.458
1637.12     -4.131
1645.086     -2.43
1653.002     -0.324
1660.852     -2.916
1669.195     -6.075
1676.733     -2.997
1684.517     1.296
1692.762     0.648
1700.382     -0.648
1708.396     -0.243
1716.345     -0.081
1723.948     -0.567
1732.127     -1.215
1740.027     0.243
1747.498     2.187
1755.71     0.729
1763.676     -2.754
1771.493     -4.131
1779.721     -0.405
1787.654     2.43
1795.471     -1.782
1803.568     -5.022
1811.335     -4.779
1819.268     -1.701
1827.414     0.891
1835.215     -0.81
1843.46     -0.81
1851.524     1.377
1859.275     1.215
1867.355     -2.106
1875.271     -6.318
1883.286     -5.508
1891.514     -0.405
1899.118     1.458
1907.215     0.243
1915.476     0.243
1923.227     1.62
1931.291     2.268
1939.24     2.754
1955.565     0.81
1963.514     -0.972
1971.331     -3.321
1979.675     -4.698
1987.756     -2.511
1995.671     -0.891
2003.686     -1.944
2011.553     -2.673
2019.534     -2.673
2027.862     -4.05
2035.728     -2.754
2043.858     0.972
2052.103     2.916
2059.854     0.567
2068.132     -2.673
2076.147     -0.486
2083.931     2.511
2092.258     2.268
2100.191     0.324
2108.123     -2.997
2116.565     -4.293
2124.596     -3.24
2132.973     -2.349
2141.152     0.405
2148.953     3.402
2157.428     1.053
2165.394     -3.078
2173.244     -4.374
2181.522     -3.402
2189.503     -3.159
2197.518     -3.402
2205.928     -1.701
2213.926     0.567
2222.171     0.405
2230.498     0.567
2238.282     0.405
2246.428     -0.324
2254.476     0.486
2262.54     2.835
2270.999     1.377
2279.079     0.162
2287.407     -0.648
2295.948     -3.483
2303.831     -5.265
2311.895     -6.237
2320.337     -5.103
2328.368     -1.539
2336.515     1.053
2344.727     -1.944
2352.593     -3.321
2360.921     0.162
2369.215     2.268
2377.098     1.296
2385.573     -0.405
2393.654     -0.567
2401.734     1.377
2410.226     2.349
2418.29     0.081
2426.453     -2.025
2434.829     -3.159
2442.844     -2.673
2451.287     -3.645
2459.729     -2.592
2467.694     -3.888
2476.17     -4.941
2484.382     -1.215
2492.364     4.131
2500.938     2.592
