Distance_nm     Force_uN
0     2.6022
-0.036     1.9752
0.021     0.7211
1.29     0.9092
3.629     2.0065
5.978     2.2887
8.203     2.4768
10.578     3.0411
12.881     2.0379
15.168     1.0033
17.57     1.2227
19.846     1.6303
22.138     1.693
24.509     2.1633
26.749     3.0098
28.988     2.6335
31.249     1.9752
33.437     1.7243
35.739     1.2227
37.964     0.2195
40.115     0.4076
42.496     1.0033
44.694     1.2227
46.913     1.8497
49.262     2.0065
51.398     1.4108
53.596     1.0346
55.987     1.4108
58.196     1.9125
60.426     2.1319
62.728     1.7557
64.843     1.4108
67.197     1.2541
69.463     1.066
71.646     1.9438
73.949     2.2573
76.173     1.8811
