Distance_nm     Force_uN
0     6.804
-1.179     6.723
-1.075     4.455
3.272     1.701
11.502     -0.486
19.728     0.486
26.756     2.916
33.836     4.941
40.712     5.022
47.849     2.025
56.211     0.567
63.911     3.969
70.383     7.776
76.73     7.695
83.911     3.402
92.342     -2.835
101.379     -3.969
108.926     -0.648
115.321     2.673
121.881     3.321
128.931     1.377
136.746     0
144.292     1.134
151.277     3.564
158.225     5.994
164.548     7.371
171.385     5.184
179.249     3.483
186.899     1.863
194.873     0.486
202.535     3.078
208.732     6.561
215.297     6.804
222.621     2.025
231.035     -2.916
240.069     -2.349
246.91     -0.405
253.463     1.701
260.367     3.969
266.815     2.997
274.516     3.807
281.67     4.86
288.233     2.349
296.414     0.162
304.508     0.324
311.524     3.969
317.882     6.885
324.37     5.994
331.835     4.536
339.831     3.807
347.219     6.075
353.701     3.888
361.745     3.24
368.98     2.592
376.495     -0.405
384.774     -0.405
391.571     -1.62
399.353     0.405
406.18     3.726
412.312     4.374
419.774     5.427
426.649     4.212
434.201     4.374
448.59     4.212
456.04     1.863
464.408     3.726
471.179     3.726
478.766     1.701
486.849     3.888
493.353     4.131
500.825     0.729
509.18     -1.863
517.169     -1.134
524.576     3.402
530.693     5.589
537.559     4.617
545.523     2.349
553.458     1.053
561.427     0.324
569.16     -2.025
576.87     -1.053
584.261     7.695
589.457     8.262
596.825     4.779
605.646     3.402
613.654     4.779
620.606     5.589
628.122     5.265
635.681     2.511
644.043     -1.215
652.865     -2.106
660.527     -0.486
667.907     4.698
673.998     8.181
680.268     4.212
689.122     -3.159
698.695     -5.67
706.909     1.863
712.844     8.343
718.602     6.318
726.619     3.402
735.189     1.701
742.955     1.458
750.624     2.349
758.118     4.536
764.803     6.075
772.123     5.265
779.911     2.268
787.911     -0.162
796.432     2.025
803.38     4.698
809.934     4.455
817.767     0.972
826.128     -0.81
834.294     0.567
841.773     0.486
848.986     1.053
856.535     3.564
863.593     5.427
870.431     5.751
878.161     2.43
886.544     0.405
894.348     2.754
901.581     6.48
907.982     7.047
915.285     4.05
924.008     0.648
932.018     0.081
939.708     0.891
947.357     1.296
953.699     2.106
961.166     0.729
969.42     -0.243
977.219     2.997
984.36     5.346
991.149     4.779
998.774     0.648
1007.902     -3.969
1016.667     -2.187
1023.856     3.888
1030.118     7.776
1036.64     8.91
1044.152     6.48
1052.393     1.782
1061.098     -0.243
1069.478     1.539
1076.634     4.698
1083.385     7.209
1090.608     5.265
1098.554     0.972
1107.479     -0.729
1115.738     1.458
1122.702     3.321
1129.655     2.673
1136.791     1.539
1144.881     1.944
1152.754     2.025
1160.516     0.891
1168.491     0.891
1176.44     3.159
1183.267     3.645
1190.953     3.24
1198.978     1.863
1206.969     2.349
1214.935     3.807
1222.49     3.564
1230.225     3.402
1238.398     2.835
1246.336     3.078
1253.955     3.564
1261.79     2.835
1269.639     2.754
1277.626     3.159
1285.646     1.701
1293.478     -0.081
1302.088     -1.053
1310.447     0.162
1317.114     2.025
1324.643     2.916
1332.45     2.754
1340.262     3.321
1348.321     2.997
1356.209     2.673
1364.163     5.508
1371.578     7.128
1378.81     4.455
1387.512     1.458
1396.285     -0.648
1404.456     0.729
1412.083     3.564
1419.399     3.645
1427.162     3.321
1435.56     2.025
1443.776     0.891
1451.751     0.324
1460.148     1.701
1467.677     3.24
1475.227     3.807
1483.237     2.511
1491.272     0.729
1499.635     -0.162
1507.939     1.62
1515.292     4.293
1522.866     6.399
1530.149     7.128
1537.44     5.184
1546.275     3.078
1554.907     2.835
1562.773     2.025
1571.203     1.053
1587.198     -0.324
1595.666     -0.972
1603.461     0.162
1611.449     1.701
1619.214     4.212
1626.305     6.156
1634.026     3.564
1642.673     -0.729
1651.713     0.081
1659.789     3.402
1666.859     5.427
1674.229     4.86
1682.792     1.539
1691.57     -0.567
1700.202     2.025
1707.715     6.642
1714.057     6.399
1722.351     3.24
1731.3     1.539
1739.625     0.162
1748.307     0.648
1756.009     2.106
1763.499     3.24
1771.603     2.835
1779.694     0.486
1788.424     -0.162
1796.844     1.62
1804.098     3.078
1811.819     3.888
1819.845     3.969
1827.591     3.726
1835.902     2.835
1844.288     4.941
1851.719     7.209
1859.583     5.832
1868.067     3.726
1876.534     2.106
1885.446     -0.162
1894.023     -0.081
1902.065     1.215
1909.977     0.972
1917.876     0.729
1926.318     1.215
1934.63     2.349
1942.273     2.997
1950.459     2.835
1958.484     5.427
1965.751     6.885
1973.767     5.346
1982.608     2.268
1991.568     0.081
2000.468     2.025
2007.761     4.941
2015.187     4.374
2023.782     2.916
2032.19     3.402
2040.37     2.349
2048.784     0.729
2057.317     2.268
2065.476     5.265
2072.765     4.617
2081.103     1.62
2090.551     0.243
2099.019     0.567
2107.259     0.486
2115.641     1.377
2123.399     3.726
2131.241     4.05
2139.563     3.402
2147.802     3.24
2156.288     3.078
2164.643     4.212
2172.335     4.536
2180.723     2.916
2189.125     1.377
2197.801     0.972
2206.649     3.24
2214.151     5.589
2222.076     5.508
2230.441     6.156
2238.133     5.103
2246.975     0.243
2256.744     -1.701
2265.447     -0.486
2273.611     1.701
2281.168     3.078
2289.009     1.215
2298.118     4.455
2305.342     6.642
2313.277     5.832
2322.07     3.726
2330.685     3.078
2339.318     2.43
2348.001     0.486
2356.754     1.053
2365.175     5.022
2372.564     6.156
2380.52     3.078
2389.924     -1.296
2399.529     -2.268
2408.217     1.62
2415.924     2.349
2423.956     1.458
2432.425     2.43
2440.655     3.159
2448.654     3.402
2457.261     3.24
2465.879     2.349
2474.282     2.43
2482.9     4.212
2490.681     1.863
2499.576     -0.243
2508.998     1.701
2516.653     4.05
2524.347     5.184
2532.648     4.617
2541.046     3.321
2549.92     3.159
2558.505     3.888
2566.373     4.536
2574.739     2.835
2583.755     1.215
2592.371     0.243
2601.306     0.81
2609.464     -0.081
2617.933     0.81
2626.234     2.106
2633.982     1.539
2642.445     1.863
2650.916     3.402
2658.664     3.645
2667.189     5.184
2675.216     5.508
2683.127     5.265
2691.767     4.617
2700.367     2.187
2709.202     2.43
2717.694     2.754
2725.884     1.539
2734.539     2.835
2742.978     3.24
2751.13     3.402
2759.315     2.835
2767.746     -0.648
2776.749     -1.134
2785.767     2.268
2793.506     2.511
2801.784     2.916
2818.56     3.321
2826.795     1.458
2835.953     3.321
2843.729     4.131
2851.92     2.592
2861.09     3.483
2869.128     4.374
2877.643     4.05
2886.354     4.212
2894.555     3.402
2903.512     3.888
2911.89     4.131
2920.201     1.296
2929.819     0.972
2938.431     1.134
2947.143     -0.567
2956.702     -0.891
2965.084     -1.296
2973.816     1.944
2981.846     7.452
2988.623     8.343
2997.319     5.994
3006.839     4.293
3015.576     3.969
3024.583     3.078
3033.627     0.648
3042.906     0.405
3051.908     2.835
3059.827     3.645
3068.232     4.698
3076.802     5.751
3084.895     4.131
3093.906     1.053
3103.326     0.081
3111.8     -0.081
3120.615     0.324
3129.097     1.944
3136.773     2.43
3145.398     1.944
3153.955     1.944
3162.381     2.592
3170.978     2.106
3179.173     1.782
3187.686     3.726
3195.967     5.022
3203.862     4.05
3212.468     5.184
3220.753     4.86
3229.069     2.592
3238.485     -0.567
3247.779     -2.025
3256.351     0.081
3264.506     2.106
3272.122     2.916
3280.314     2.511
3289.359     1.053
3298.079     2.673
3306.217     6.318
3313.874     11.34
3320.716     14.742
3328.423     18.63
3335.785     25.272
3342.42     36.207
3348.261     49.329
