Distance_nm     Force_uN
0     0.648
1.795     -6.561
3.04     -6.48
8.358     -0.324
21.992     4.779
30.675     0.405
45.866     -2.835
51.771     2.43
58.393     3.564
76.44     -9.234
83.746     -9.963
103.515     -3.321
109.315     2.025
124.658     -2.511
132.094     -4.212
137.969     -0.729
151.855     1.053
158.38     2.43
173.495     -0.162
181.155     -2.754
195.029     -2.025
202.27     -2.511
210.083     -4.941
222.62     0.324
228.79     3.564
246.137     -7.857
252.694     -6.723
257.581     0.729
271.134     3.078
278.936     0.081
293.688     -2.997
300.935     -2.592
307.122     0.648
320.98     1.134
329.683     -4.536
343.405     -3.24
349.28     0.729
364.186     -1.944
371.916     -5.589
378.077     -1.701
390.018     5.832
399.001     -0.324
412.847     -0.405
420.171     0.081
427.154     0
436.438     17.577
442.011     21.384
448.05     24.867
458.078     41.148
461.104     56.052
468.039     80.757
473.949     86.427
479.509     117.207
483.099     130.572
493.752     142.641
496.535     160.218
500.024     172.125
508.268     195.939
512.217     207.36
523.078     219.267
526.066     233.766
529.437     248.427
536.698     275.157
541.234     286.416
549.959     304.722
555.941     310.554
562.67     337.365
566.888     349.191
576.293     367.173
580.243     379.566
583.329     393.822
592.73     412.857
597.382     421.362
602.394     452.466
606     465.588
615.967     481.788
619.874     494.586
624.534     504.468
633.137     525.609
636.082     541.485
643.001     570.402
646.797     582.633
656.116     601.911
659.949     613.332
669.175     632.529
672.633     646.137
680.934     671.328
686.673     675.864
690.99     687.69
698.151     713.934
702.523     725.679
710.581     749.574
715.809     758.322
724.364     780.435
725.825     801.819
735.195     822.555
739.78     833.328
746.397     862.569
750.477     873.99
761.309     888.57
765.957     897.885
765.957     897.885
769.676     921.942
768.012     917.001
762.562     878.607
756.858     871.074
746.709     850.419
742.947     835.434
737.432     826.038
729.107     799.47
724.315     788.616
715.832     762.696
712.082     748.764
702.433     728.514
698.215     716.931
694.604     703.404
687.656     673.434
675.349     662.985
667.191     638.604
663.075     625.239
657.821     617.625
649.176     594.135
644.839     583.362
633.92     569.592
629.642     558.171
622.797     530.388
618.425     518.643
611.619     491.751
606.294     484.704
600.412     455.301
595.715     446.229
591.548     435.861
581.937     419.256
579.14     404.109
571.974     378.189
569.282     362.961
558.697     348.867
553.981     341.82
550.577     327.888
544.591     298.566
540.946     284.796
532.586     264.465
527.522     256.203
523.344     245.511
513.957     228.501
510.931     214.326
503.431     188.973
498.795     180.711
489.543     162.162
484.639     154.224
476.239     133.245
472.865     120.366
466.676     91.125
463.195     77.355
454.403     58.077
449.699     48.114
446.04     36.045
439.045     10.773
434.327     2.511
421.517     -2.349
417.285     -11.988
404.988     -18.63
397.241     -15.228
383.985     -17.577
377.837     -20.412
370.895     -21.951
355.597     -16.848
348.197     -16.443
335.122     -18.792
328.039     -19.683
321.192     -19.683
308.665     -26.082
292.881     -19.116
284.124     -12.879
277.038     -11.745
248.518     -23.409
232.734     -20.655
222.921     -11.664
208.581     -12.555
202.552     -16.443
194.759     -14.823
179.944     -13.527
172.593     -13.608
160.274     -20.412
153.946     -22.761
139.192     -20.898
132.223     -18.063
118.916     -20.898
113.294     -24.462
106.38     -25.92
89.794     -16.281
81.564     -13.041
67.967     -11.745
60.884     -11.907
47.596     -13.77
40.808     -15.39
34.879     -18.063
21.596     -20.007
15.132     -21.303
0.292999999999981     -17.658
