Distance_nm     Force_uN
0     0.567
-0.197     3.402
-0.549     5.994
3.541     6.966
10.915     8.262
18.482     6.723
26.138     4.374
34.325     3.645
42.091     3.402
49.332     4.05
56.892     3.888
64.424     3.645
71.583     4.86
78.875     4.455
86.39     3.888
93.767     3.726
101.447     3.969
108.425     4.86
115.574     5.913
122.811     3.807
130.291     3.564
137.811     3.483
145.124     2.268
152.528     1.539
160.163     1.944
167.213     3.483
173.989     4.617
181.271     3.645
188.642     3.888
195.768     5.346
202.913     6.966
209.536     7.857
216.702     6.48
224.478     3.888
232.319     3.888
239.725     2.592
247.398     0
255.157     1.944
262.335     4.941
268.505     5.589
275.439     4.698
283.151     2.025
290.915     1.377
298.364     2.268
305.595     2.43
312.431     5.103
319.116     5.913
326.32     5.184
333.609     5.022
341.371     2.349
349.234     0.567
356.643     2.43
363.53     4.941
369.798     5.832
376.684     5.508
384.671     4.779
392.075     4.779
399.119     5.184
406.481     5.994
413.29     6.318
420.806     3.564
428.789     1.62
436.374     0.081
444.408     0.324
451.567     3.078
457.918     6.075
464.68     5.994
471.861     3.402
479.702     1.134
487.67     2.025
494.556     5.022
501.104     7.857
507.663     8.667
514.489     7.857
522.244     5.265
530.299     2.835
538.031     0.81
546.015     1.539
553.126     4.05
559.657     4.617
567.107     5.346
573.938     5.913
581.076     4.86
588.996     4.941
596.067     6.966
602.828     7.128
610.239     5.67
617.791     4.293
625.65     2.835
633.515     2.106
640.854     3.078
648.211     4.941
654.983     5.103
662.312     4.212
670.074     3.807
677.193     3.807
684.797     5.508
691.875     6.48
698.641     6.399
706.134     4.779
714.059     2.835
721.692     1.539
729.398     1.944
736.645     3.402
743.592     5.427
750.682     4.86
758.093     2.43
766.054     2.025
773.833     3.24
780.467     4.86
787.419     7.29
794.384     7.533
801.625     4.374
817.535     2.754
824.949     3.645
832.329     4.941
839.352     4.212
846.741     2.106
854.944     2.187
862.098     2.187
869.454     2.835
876.998     6.075
883.234     8.343
889.88     8.343
897.385     7.857
904.675     6.561
912.808     3.807
920.973     1.863
928.672     2.187
936.221     3.888
943.003     3.807
950.168     3.807
957.869     5.346
964.795     5.67
972.129     3.726
980.158     3.888
987.24     5.022
994.373     5.346
1001.56     4.698
1008.877     3.078
1016.999     2.754
1024.558     4.212
1031.389     4.131
1039.146     4.131
1046.469     4.374
1053.645     6.237
1060.631     7.371
1067.418     5.508
1075.54     3.807
1083.569     4.212
1090.668     6.075
1097.654     6.156
1105.021     6.237
1112.339     5.508
1120.155     3.645
1127.932     2.106
1135.094     1.782
1142.702     2.673
1149.752     4.536
1156.82     5.508
1164.129     4.86
1171.462     2.268
1179.83     2.349
1187.263     5.022
1193.817     6.966
1200.995     6.966
1208.417     5.427
1216.056     3.402
1224.337     2.592
1231.846     2.997
1239.06     4.293
1246.199     7.047
1252.516     6.723
1260.487     4.617
1268.789     4.131
1275.931     3.888
1283.682     5.589
1290.728     7.29
1297.741     6.399
1305.913     4.617
1313.651     1.377
1321.947     -0.162
1330.327     1.701
1337     4.131
1343.784     6.318
1350.929     6.723
1358.127     3.807
1366.779     4.617
1374.098     5.508
1381.017     6.399
1388.545     6.966
1395.765     4.941
1403.65     4.05
1411.691     2.835
1419.589     1.458
1427.497     2.025
1435.096     3.564
1441.988     5.022
1449.461     5.022
1457.065     3.564
1464.732     3.645
1472.576     5.184
1479.88     6.48
1486.969     8.424
1494.361     8.1
1501.92     5.832
1510.019     4.05
1518.465     1.458
1526.602     1.458
1534.353     5.103
1541.056     6.966
1547.976     6.723
1556.024     5.427
1564.025     2.916
1572.174     3.159
1580.123     5.427
1587     7.128
1594.078     7.047
1602.098     4.374
1610.142     1.863
1618.373     0.972
1626.628     1.701
1633.985     4.455
1641.109     6.399
1648.402     6.237
1655.983     6.156
1663.756     4.212
1671.966     2.187
1679.95     2.997
1687.796     4.86
1695.111     6.885
1702.086     8.667
1709.67     5.832
1718.086     2.349
1726.711     0.972
1735.097     0.162
1742.589     0.891
1750.21     2.997
1757.64     4.212
1764.801     5.994
1772.318     5.265
1780.217     4.455
1787.923     5.346
1795.747     6.561
1803.023     9.072
1809.9     9.315
1817.882     6.237
1826.627     3.483
1835.17     1.377
1843.752     0.243
1851.003     1.782
1858.224     4.617
1865.096     5.832
1872.306     5.184
1880.693     1.701
1889.498     -0.567
1897.663     0.81
1905.438     4.617
1912.015     7.29
1919.046     6.561
