Distance_nm     Force_uN
0     -0.3762
0.409     -1.066
1.197     -1.3795
3.501     -0.9092
5.602     0.2508
7.58     1.0346
9.716     0.5016
12.168     -0.5016
14.857     -0.7211
17.286     -0.3135
19.383     0.3762
21.462     1.3795
23.352     1.8497
25.484     0.5957
28.248     -0.7524
30.904     -0.9405
33.212     -0.9405
35.52     -1.3168
37.82     -0.9405
39.995     -0.2822
42.053     0.1568
44.118     0.3449
46.394     0.2822
48.676     0
50.954     -0.3449
53.405     0.0627
55.533     0.9719
57.459     0.4703
59.958     0.0627
62.263     0.6897
64.348     0.8151
66.582     0.4389
68.886     0.3762
71.226     -0.0941
73.683     -0.2195
75.881     -0.3762
78.331     -0.7838
80.735     -1.2227
83.103     -0.9092
85.299     -0.2822
87.28     0.4703
89.301     0.5016
91.656     0.8465
93.768     0.7838
96.071     0.0941
98.629     0.1881
100.748     0.3449
103.044     0.0941
105.385     -0.0941
107.474     0.1881
109.713     0.3762
111.915     0.3762
114.197     0.1881
116.568     -0.4389
118.901     -0.9719
121.399     -0.627
123.575     -0.3762
125.656     -0.4389
128.027     -0.3135
130.256     0.3762
132.293     0.8151
134.473     0.0314
136.937     -0.5643
139.389     -0.6897
141.813     -0.2508
143.784     0.2822
145.848     0.3449
148.13     0.3135
149.801     0.2822
151.936     0
152.82     0.4703
152.525     0.9092
152.235     0.9719
152.131     0.2195
152.281     -0.5643
152.448     -0.4389
152.316     -0.4703
152.259     -0.627
152.224     0.2195
151.858     1.2854
151.44     1.4108
151.324     1.0346
151.431     -0.1254
151.798     -1.4422
152.208     -1.8811
152.273     -0.5016
151.763     1.3481
151.11     2.3827
150.686     2.1946
150.688     0.9719
151.071     -1.0033
151.704     -1.3795
151.831     -1.1914
151.726     -0.5643
151.477     1.3795
150.776     2.6022
150.309     1.3481
150.719     -0.3135
151.282     -1.16
151.558     -1.1287
151.501     0.1568
151.018     1.693
150.471     1.8184
150.418     0.5957
150.854     0.0627
150.951     -0.1568
151.046     -0.1568
151.072     0.7838
150.701     -0.2508
151     -1.4108
151.414     -1.2227
151.345     -0.3135
150.984     0.6897
150.702     1.8184
150.288     1.4422
150.661     -0.3135
153.308     -1.5049
156.056     -1.5989
158.51     -0.3449
160.43     1.16
162.201     1.9752
164.374     1.5989
166.84     -0.1568
169.696     -1.3481
172.491     -1.1287
174.662     0.0941
176.655     1.16
178.685     1.1914
180.872     -0.3135
183.821     -1.5676
186.559     -1.066
188.597     0.3762
190.489     1.7243
192.309     1.7243
