Distance_nm     Force_uN
0     -0.9092
-0.026     1.4422
1.263     -1.8811
6.067     -1.8184
8.442     -1.0033
13.319     -0.1881
18.049     -2.8844
20.378     -3.386
25.213     -2.4141
29.891     -3.1665
32.356     -4.64
39.211     -2.4768
41.446     -1.7243
46.135     -0.3135
50.886     0.627
53.136     -1.5049
57.757     -4.2638
60.044     -2.853
64.717     1.3481
69.385     -3.6995
73.959     -6.1763
76.339     -2.3827
80.725     2.5081
85.398     -7.9947
87.769     -7.4303
92.39     2.2887
94.744     2.6649
99.287     -3.2919
103.981     -0.9405
106.257     -1.3481
110.961     -2.4768
113.217     -2.32
117.942     -2.32
120.302     -2.2887
124.85     -3.3546
129.523     -2.6335
131.831     -2.4141
136.566     -2.9157
138.89     -1.787
143.495     -0.627
148.299     -2.3827
150.528     -2.6022
155.222     -0.6897
157.462     -2.0379
162.192     -3.0725
166.902     -4.1698
171.559     -1.8184
173.961     -1.7557
178.587     -4.7027
181.01     -4.1071
185.677     -1.16
190.272     -2.1319
192.705     -2.1946
197.269     -1.0346
199.702     -0.627
201.921     -2.6962
199.77     -3.6995
197.347     -2.8216
192.418     -2.1319
187.432     -3.5427
185.067     -3.1352
180.242     -4.1384
177.887     -4.1071
172.901     -3.7622
170.593     -3.0411
165.737     -3.8563
160.955     -3.2606
158.564     -2.7276
153.807     -2.3827
151.525     -2.4141
146.732     -3.6681
141.96     -3.6054
139.563     -2.1946
134.765     -4.2011
132.442     -3.7308
127.763     -3.0725
125.461     -3.8563
120.72     -4.3579
116.005     -2.0379
113.656     -2.6649
108.946     -3.1979
104.351     -2.3827
101.913     -2.5395
97.297     -2.3827
94.89     -4.1071
90.306     -4.4833
85.612     -0.8151
83.211     -2.5708
78.558     -6.1449
76.125     -1.9438
71.52     0.7211
69.16     -5.3925
64.513     -6.8033
62.07     -1.5049
57.496     3.0098
52.88     -9.2801
50.489     -10.0325
45.863     -1.2227
41.164     0.2195
38.861     -5.079
34.194     -2.9471
31.896     -2.1006
27.307     -6.4271
24.879     -3.7935
20.274     1.3168
15.648     -3.0098
11.006     -6.6779
8.677     -4.4519
3.978     -2.4141
1.738     -1.5049
