Distance_nm     Force_uN
0.347     3.888
2.264     5.022
2.843     5.832
3.296     5.184
5.17     7.29
5.997     5.994
5.928     6.48
6.744     10.287
8.693     6.318
9.13     8.829
10.325     12.15
11.899     17.82
12.11     18.954
12.294     18.792
13.984     22.761
15.089     24.381
15.084     21.303
15.553     20.169
17.453     25.515
18.148     25.272
18.122     24.948
19.091     27.378
20.855     27.864
21.134     30.78
21.165     36.126
22.634     36.774
24.066     38.556
24.14     41.796
24.493     43.578
26.257     41.958
27.078     49.977
27.031     50.382
27.731     46.575
30.047     48.438
29.989     52.569
30.058     55.728
31.248     57.996
33.127     62.613
33.075     63.423
33.18     64.719
36.018     65.529
36.013     67.554
35.955     70.227
36.45     70.632
39.077     74.844
39.061     77.274
39.077     76.221
41.615     78.165
42.036     81.486
42.025     79.623
43.331     81.891
44.874     86.67
45.032     87.237
44.989     86.508
47.022     91.611
48.112     97.2
48.069     95.418
48.549     95.094
50.402     101.169
51.044     105.219
50.992     104.409
51.992     100.035
53.735     106.353
54.066     110.16
54.203     114.534
55.693     115.344
57.046     122.958
57.052     116.964
57.041     116.154
58.22     125.631
59.842     134.622
60.063     129.195
60.737     133.974
62.611     143.451
62.98     135.756
63.075     134.379
64.286     139.32
66.207     149.283
66.123     150.174
66.397     149.688
68.071     155.358
69.193     154.143
69.156     157.383
69.666     160.785
72.304     161.352
72.246     159.003
72.246     157.626
75.032     167.103
75.358     169.938
75.305     168.156
75.358     166.455
78.291     176.823
78.443     178.443
78.364     178.686
80.397     189.459
81.439     191.403
81.465     189.054
81.481     187.191
83.882     198.126
84.44     195.453
84.424     193.185
87.294     203.148
87.546     208.818
87.462     208.089
89.136     202.419
90.505     210.114
90.595     213.192
90.547     219.753
92.838     220.482
93.807     222.588
93.785     222.102
94.307     220.887
96.218     225.342
96.86     231.741
96.85     232.389
97.934     239.355
99.651     237.411
99.909     237.168
100.003     244.053
101.641     247.293
102.947     249.48
102.92     251.667
103.436     251.91
105.305     255.96
106.084     256.608
106.084     255.15
106.948     259.605
108.806     268.353
109.138     263.169
109.228     260.01
110.586     264.627
