Distance_nm     Force_uN
-0.021     -1.215
-0.016     -0.972
0.086     -0.081
0.081     0
0.129     -1.458
0.221     -2.025
0.199     -1.053
0.328     -1.782
0.35     -1.377
0.377     -0.486
0.457     -0.729
0.495     -1.296
0.538     -0.405
0.667     -2.187
0.672     -2.106
0.715     -0.648
0.764     -0.567
0.86     -1.701
0.93     -1.215
0.93     -1.215
1.027     0.162
1.065     0.729
1.156     -0.648
1.237     -1.863
1.247     -0.729
1.376     -1.053
1.371     -1.782
1.484     0.243
1.522     0
1.565     -1.62
1.602     -1.134
1.667     -1.62
1.667     -1.62
1.887     -0.243
1.882     -0.162
1.968     -1.134
2.059     -1.215
2.097     -0.729
2.113     -0.567
2.193     -0.972
2.231     -0.729
2.398     -1.863
2.387     -1.296
2.425     -2.106
2.618     -0.243
2.634     -1.215
2.71     -1.863
2.779     -1.539
2.908     -0.729
2.962     -0.81
3.059     -0.729
3.134     -0.81
3.183     -0.81
3.188     -1.296
3.355     -1.62
3.349     0.648
3.478     0.162
3.521     -1.296
3.666     -1.782
3.779     -1.458
3.801     -1.296
3.871     -1.296
3.978     -0.648
4.053     -1.458
4.15     -0.972
4.182     -1.782
4.225     -1.296
4.44     -0.324
4.435     -0.81
4.575     -1.944
4.586     -1.863
4.698     -1.296
4.849     -0.567
4.876     -0.891
5.075     -2.835
5.155     -3.321
5.198     -0.891
5.279     -0.729
5.403     -0.729
5.58     -0.648
5.623     0
5.747     -1.863
5.854     -1.782
5.865     -0.405
6.059     -0.405
6.123     -0.972
6.166     -1.863
6.311     -1.863
6.462     -2.025
6.596     -0.729
6.709     -0.567
6.72     -1.215
6.827     -1.215
6.929     -0.729
6.978     -0.891
7.268     -1.539
7.386     -0.972
7.591     -2.187
7.639     -1.944
7.843     -0.729
7.886     -1.215
7.913     -2.673
8.176     -1.377
8.23     -1.296
8.327     -1.053
8.515     -0.243
8.542     -0.972
8.875     -0.567
8.902     -1.215
8.999     -1.458
9.133     -1.863
9.209     -1.62
9.493     -1.701
9.547     -2.106
9.692     -1.944
9.891     -1.458
9.983     -0.243
10.058     -0.891
10.268     -2.106
10.364     -1.863
10.633     -1.539
10.746     -0.648
10.789     -0.81
11.176     -0.972
11.165     -1.62
11.396     -1.863
11.504     -1.944
11.601     -1.134
11.961     -1.053
11.988     -1.134
12.289     -1.134
12.434     -2.025
12.525     -2.106
12.724     -1.296
12.928     -0.972
13.133     -2.835
13.348     -2.268
13.482     -1.863
13.638     -1.377
13.934     -0.891
13.971     -1.377
14.385     -2.187
14.423     -1.296
14.622     -2.187
14.885     -1.863
14.971     0.324
15.111     0.081
15.536     -1.053
15.563     -1.62
16.052     -1.458
16.154     -1.782
16.31     -1.215
16.761     -0.972
16.863     -1.782
17.267     -1.458
17.439     -1.539
17.519     -1.134
18.035     -0.81
18.057     -1.944
18.487     -0.567
18.702     -2.835
18.815     -2.187
19.395     -1.944
19.411     -1.701
19.847     -2.025
20.051     -1.377
20.191     -0.648
20.583     -0.972
20.895     -0.81
21.013     -1.377
21.68     -0.891
22.212     -1.944
22.486     -2.43
22.599     -1.701
22.986     -1.782
23.411     -1.458
23.459     -1.701
24.228     -0.486
24.346     -1.215
24.669     -1.134
25.271     -0.405
25.292     -0.162
26.125     -0.891
26.255     -0.405
26.599     -0.81
27.27     -2.025
27.55     -1.863
28.157     -0.648
28.437     -1.053
28.706     -0.972
29.512     -1.701
29.577     -2.106
30.453     -2.916
30.705     0.162
30.899     0.081
31.867     -1.863
32.157     -1.296
32.877     -1.458
33.178     -2.106
33.447     -1.377
34.587     -1.701
34.759     -2.511
35.99     -1.215
35.952     -1.215
36.871     -1.215
37.42     -0.972
37.624     -1.296
38.317     -1.944
39.081     -1.539
39.79     -0.648
40.473     -0.567
40.618     -1.296
41.328     -0.891
42.225     -0.729
42.93     -2.025
43.725     -1.539
43.87     0.567
45.418     -1.296
45.58     -2.025
46.155     -2.106
47.456     -0.648
47.461     -1.053
48.929     -1.215
49.262     -0.486
49.816     -2.916
