Distance_nm     Force_uN
0     2.835
0.584     2.106
2.147     3.321
8.616     0.81
16.666     -4.131
25.699     -7.29
34.171     -6.966
41.275     -4.05
48.29     -2.43
55.39     -4.212
63.145     -4.374
70.726     -2.025
77.35     0.486
83.98     2.106
91.163     -0.243
98.741     -4.293
106.992     -2.43
113.813     1.296
120.116     5.346
126.825     6.723
133.81     4.455
141.366     1.62
149.799     -2.025
157.842     -3.726
165.377     -2.187
172.384     -1.134
179.193     -0.486
186.276     -0.486
193.649     -2.268
201.091     -4.941
209.382     -7.371
217.492     -7.938
224.524     -5.427
231.302     -0.324
236.888     1.539
243.347     1.215
251.136     -0.324
258.759     0.081
265.973     4.455
272.134     5.751
278.631     4.779
286.217     2.592
294.179     -1.782
302.747     -1.863
310.125     -2.511
317.607     -4.617
325.202     -4.698
332.514     -3.159
339.39     -2.106
346.248     -3.807
354.047     -4.779
361.418     -3.321
368.217     -0.567
374.93     1.134
381.432     1.701
388.488     0.162
396.374     -2.106
403.898     -0.081
410.79     2.916
417.372     3.807
424.159     4.05
431.68     2.268
439.336     1.944
446.565     1.539
454.195     -0.81
461.757     -3.645
469.795     -5.427
477.895     -3.969
484.48     -2.106
491.334     -4.536
499.345     -5.994
506.733     -3.969
513.79     -2.916
520.731     -2.187
527.446     0
534.279     1.458
541.061     0.648
548.274     1.296
555.554     2.754
562.386     2.349
570.033     0.81
578.034     0.729
585.083     0.162
592.642     -1.863
600.544     -1.701
607.659     -1.863
615.339     -4.455
623.279     -6.075
630.956     -3.888
637.904     -0.324
644.086     1.458
651.028     1.701
658.384     0.405
665.777     -1.377
673.598     -1.782
681.244     -0.243
687.017     -0.243
694.489     -1.782
701.98     -1.944
709.216     -1.134
716.666     0.891
723.263     2.268
730.215     0.648
738.173     -1.296
745.806     -1.944
753.633     -1.215
760.974     -3.483
768.827     -5.913
777.085     -5.913
784.507     -4.779
791.409     -1.782
798.123     0
812.19     -0.567
820.012     -1.701
827.74     -1.539
835.184     -0.405
842.416     1.539
849.117     1.944
856.495     0.891
864.251     1.458
871.257     1.863
878.932     -0.243
886.971     -1.944
894.769     -2.754
902.805     -1.134
909.692     0.324
916.787     -1.782
924.925     -3.564
932.712     -3.159
940.288     -1.863
947.526     -0.486
954.28     -1.134
962.239     -1.62
969.973     -2.43
977.4     -2.106
985.031     -0.243
991.951     -0.648
999.384     -2.187
1007.517     0.243
1014.218     3.483
1020.932     4.212
1028.536     2.916
1036.077     -0.648
1044.657     -2.997
1052.926     -2.997
1060.398     -3.645
1068.488     -4.941
1076.309     -4.536
1083.721     -3.402
1091.232     -2.025
1098.168     -2.43
1105.913     -3.24
1114.031     -0.405
1120.623     1.62
1127.598     0.972
1135.607     -0.567
1143.608     -1.539
1151.671     -0.567
1158.93     -0.486
1166.199     -0.891
1174.141     -0.081
1181.411     -0.162
1188.937     -1.701
1197.432     -3.159
1205.313     -2.025
1212.331     1.539
1219.122     1.863
1226.325     -3.24
1235.435     -6.804
1244.016     -3.807
1250.646     0.324
1257.564     0.324
1265.167     -3.645
1273.774     -4.779
1282.029     -1.458
1288.539     0.891
1295.625     0.405
1303.754     -0.162
1311.395     0.648
1319.125     -0.324
1327.286     -2.754
1335.38     -3.726
1343.492     0
1350.074     4.536
1356.373     4.293
1364.535     -0.243
1373.427     -5.589
1382.537     -7.29
1391.01     -5.022
1397.821     -2.511
1404.78     -0.648
1412.144     -0.243
1419.737     -0.81
1427.921     0
1435.569     2.673
1442.402     3.726
1450.035     3.24
1457.802     1.62
1465.759     -2.106
1474.663     -5.67
1483.293     -6.723
1491.344     -2.43
1498.07     1.782
1504.67     1.863
1512.596     -0.972
1521.458     -2.43
1529.421     -0.729
1536.928     1.701
1544.238     -0.81
1552.518     -4.212
1561.482     -2.754
1568.544     1.296
1575.039     2.43
1582.847     1.215
1590.827     -1.215
1599.382     -3.807
1608.424     -3.969
1616.071     0.243
1622.851     1.539
1630.5     -1.458
1638.845     -4.131
1647.531     -2.43
1654.989     -0.324
1662.271     -2.916
1671.313     -6.075
1679.702     -2.997
1686.657     1.296
1693.745     0.648
1701.539     -0.648
1709.903     -0.243
1717.742     -0.081
1725.302     -0.567
1733.612     -1.215
1741.686     0.243
1748.765     2.187
1756.453     0.729
1764.811     -2.754
1773.567     -4.131
1782.167     -0.405
1789.095     2.43
1796.148     -1.782
1805.38     -5.022
1814.021     -4.779
1821.888     -1.701
1829.204     0.891
1836.306     -0.81
1845.01     -0.81
1853.074     1.377
1860.236     1.215
1868.36     -2.106
1877.171     -6.318
1886.321     -5.508
1894.331     -0.405
1900.559     1.458
1908.154     0.243
1916.742     0.243
1924.494     1.62
1932.187     2.268
1939.961     2.754
1956.155     0.81
1964.628     -0.972
1972.925     -3.321
1981.902     -4.698
1990.354     -2.511
1997.68     -0.891
2005.258     -1.944
2013.409     -2.673
2021.587     -2.673
2029.914     -4.05
2038.152     -2.754
2045.932     0.972
2053.173     2.916
2060.4     0.567
2069.311     -2.673
2078.199     -0.486
2085.394     2.511
2092.913     2.268
2100.911     0.324
2109.368     -2.997
2118.705     -4.293
2127.086     -3.24
2135.178     -2.349
2143.117     0.405
2150.176     3.402
2157.843     1.053
2166.442     -3.078
2175.405     -4.374
2184.033     -3.402
2191.752     -3.159
2199.701     -3.402
2208.176     -1.701
2215.716     0.567
2223.35     0.405
2231.721     0.567
2239.461     0.405
2247.651     -0.324
2255.895     0.486
2263.741     2.835
2271.567     1.377
2280.04     0.162
2288.695     -0.648
2297.455     -3.483
2306.102     -5.265
2314.646     -6.237
2323.35     -5.103
2331.076     -1.539
2338.262     1.053
2345.775     -1.944
2354.449     -3.321
2363.148     0.162
2370.503     2.268
2377.819     1.296
2386.556     -0.405
2395.095     -0.567
2403.219     1.377
2411.187     2.349
2418.989     0.081
2427.763     -2.025
2436.707     -3.159
2445.028     -2.673
2453.339     -3.645
2462.044     -2.592
2469.725     -3.888
2478.55     -4.941
2487.046     -1.215
2494.023     4.131
2501.156     2.592
2509.635     -2.997
2519.337     -3.483
2528.141     -0.081
2535.354     0.243
2543.462     -0.081
2551.893     0.405
2559.76     1.62
2567.793     2.268
2575.979     0.243
2584.588     -2.106
2593.681     -2.43
2601.964     -3.159
2610.422     -3.807
2619.137     -3.321
2627.136     -0.729
2634.732     0.486
2642.962     -3.321
2652.151     -5.994
2661.248     -1.944
2668.484     3.726
2674.97     4.131
2683.369     -0.243
2693.122     -2.268
2701.831     1.62
2709.077     4.293
2716.372     1.296
2725.622     -3.483
2735.599     -3.807
2743.8     0.567
2751.047     2.754
2758.9     -0.891
2767.979     -3.402
2777.247     -1.863
2785.225     -0.729
2792.835     -1.62
2801.502     -3.483
2810.446     -5.751
2819.253     -5.184
2828.02     -2.754
2835.709     -1.863
2843.615     -0.486
2851.983     2.025
2859.436     2.349
2867.577     -1.62
2877.418     -3.321
2886.303     -1.215
2894.046     2.025
2901.533     1.377
2909.755     -1.134
2919.138     -0.162
2927.219     1.053
2935.088     0.405
2943.853     -2.592
2953.087     -5.184
2962.31     -5.508
2970.906     -4.374
2978.829     -3.564
2987.036     -1.782
2995.147     -0.243
3002.911     1.863
3010.868     2.835
3019.049     2.43
3027.337     1.134
3036.293     -1.701
3045.451     -2.997
3054.341     -1.215
3062.55     -0.567
3070.621     0
3078.943     -0.243
3087.501     -1.539
3095.963     -2.349
3104.756     -3.321
3113.806     -3.159
