dDisplacement_nm_ori     dForce
1627.072     3114.5356
1631.525     3121.433
1635.577     3128.4557
1644.391     3147.3294
1648.566     3155.9511
1653.019     3163.9458
1661.427     3184.293
1665.839     3192.5699
1670.061     3201.5991
1678.576     3228.248
1682.865     3237.5595
1687.349     3246.4007
1691.931     3254.6148
1700.59     3269.4441
1704.894     3277.6896
1709.152     3286.5935
1718.017     3305.2791
1722.373     3311.957
1726.826     3320.8295
1730.986     3329.8587
1739.774     3347.9173
1743.903     3357.7304
1748.444     3367.1986
1757.201     3384.9749
1761.721     3395.8226
1766.082     3403.974
1774.983     3419.8693
1779.297     3427.0489
1783.581     3435.9214
1788.013     3446.1107
1796.755     3464.0752
1801.147     3472.9477
1805.44     3481.2245
1814.229     3497.2452
1818.599     3505.3339
1823.161     3514.1124
1831.969     3531.8888
1836.458     3543.0186
1840.521     3552.9571
1849.54     3569.9183
1853.829     3580.2644
1858.37     3588.5412
1862.771     3596.3164
1871.631     3609.2647
1875.977     3619.2972
1880.425     3628.0443
1889.202     3645.9461
1893.666     3656.2921
1897.955     3665.0392
1906.943     3681.5929
1911.376     3689.9011
1915.711     3698.0525
1920.226     3709.3391
1929.122     3726.2063
1933.678     3735.7999
1937.915     3744.1081
1947.068     3762.6056
1951.331     3769.2835
1955.892     3778.689
1964.742     3795.3994
1969.319     3804.993
1973.633     3813.9282
1982.606     3834.2127
1986.905     3841.3296
1991.518     3849.6064
1996.074     3860.4854
2005.134     3878.544
2009.402     3887.7927
2013.835     3897.982
2022.849     3918.8308
2027.441     3927.4525
2035.695     3936.1683
2045.29     3951.6874
2049.764     3960.4345
2054.474     3967.1751
2063.308     3985.265
2067.864     3993.7299
2072.261     4004.7344
2081.471     4020.3475
2085.862     4029.3768
2090.429     4038.6882
2094.851     4047.2472
2103.983     4065.0863
2108.452     4075.0248
2112.988     4084.2735
2121.853     4102.3007
2126.471     4112.3646
2131.083     4123.0241
2140.123     4141.5843
2144.684     4150.3001
2149.096     4157.5737
2158.162     4184.0658
2162.713     4192.9383
2167.351     4201.9989
2171.691     4212.2196
2180.886     4229.8079
2185.323     4237.6144
2190.008     4246.675
2198.925     4267.3671
2203.589     4278.0894
2208.011     4286.3976
2217.174     4302.1048
2221.576     4310.6324
2226.127     4321.1039
2230.549     4330.0704
2239.718     4346.436
2244.269     4354.2739
2248.933     4363.6481
2258.024     4384.1834
2262.632     4394.8429
2267.352     4403.8409
2276.49     4422.0248
2281.118     4432.9666
2285.397     4440.1774
2290.061     4449.7083
2299.147     4467.6415
2303.883     4477.3291
2308.454     4486.7033
2317.623     4505.4829
2322.112     4514.1673
2326.797     4524.2312
2335.904     4543.8573
2340.619     4553.6077
2345.093     4562.8564
2349.623     4571.823
2358.92     4588.847
2363.61     4596.967
2368.356     4605.965
2377.412     4627.0646
2382.112     4637.5047
2386.688     4648.2583
2396.078     4668.9818
2400.495     4676.757
2405.185     4683.2468
2409.787     4691.7117
2419.172     4712.4038
2423.733     4721.872
2428.387     4728.9575
2437.437     4746.7025
2442.276     4755.5123
2446.894     4765.294
2456.248     4786.0802
2460.618     4793.4792
2465.411     4801.8187
2470.147     4812.1648
2479.465     4834.6439
2484.129     4843.7672
2488.597     4851.1662
2497.966     4868.1588
2502.656     4876.2162
2507.433     4885.6844
2512.031     4895.7483
2521.338     4916.0641
2525.956     4926.2221
2530.733     4935.5962
2539.999     4954.6267
2544.797     4964.5024
2549.317     4973.6571
2558.825     4993.5341
2563.427     5001.999
2568.179     5011.5613
2572.971     5021.6878
2582.16     5039.088
2586.968     5048.2113
2591.622     5057.8049
2601.182     5078.0895
2605.763     5087.056
2610.535     5095.7718
2619.951     5114.1752
2624.79     5125.0229
2629.412     5133.5505
2638.792     5151.9853
2643.507     5162.4881
2648.398     5172.5833
2653     5191.8332
2662.631     5211.961
2667.095     5222.2443
2671.872     5230.6152
2676.649     5239.958
2686.167     5261.1517
2690.903     5268.8956
2704.983     5285.4493
2709.734     5294.7921
2714.588     5305.1068
2719.103     5314.9512
2728.416     5333.2605
2733.301     5343.3558
2738.258     5354.2975
2747.746     5374.6447
2752.636     5385.8686
2757.166     5394.7725
2766.834     5414.4927
2771.431     5423.1457
2776.28     5432.7707
2785.665     5451.4876
2790.529     5461.3634
2795.25     5471.49
2799.991     5480.6446
2809.617     5499.6437
2814.291     5509.3314
2819.048     5519.8656
2828.669     5537.6419
2833.498     5546.6085
2838.141     5555.6691
2843.011     5566.9244
2852.359     5587.2402
2857.219     5598.4641
2861.873     5605.9885
2871.561     5623.9844
2876.122     5634.0483
2881.012     5644.4257
2890.566     5665.8702
2895.492     5675.8714
2900.208     5682.6747
2904.877     5690.7634
2914.395     5712.302
2919.291     5720.5161
2924.155     5729.7021
2933.735     5749.6418
2938.451     5759.8938
2943.182     5768.9858
2952.895     5790.3676
2957.719     5800.4628
2962.666     5809.1472
2972.06     5827.5506
2977.002     5836.2351
2981.671     5845.7033
2986.608     5856.1434
2996.198     5873.5435
3001.15     5883.6701
3005.932     5894.894
3015.708     5912.7958
3020.454     5924.3332
3025.293     5936.2782
3030.121     5946.4361
3039.943     5964.7455
3044.89     5974.8721
3049.616     5984.9673
3059.283     6006.0356
3064.132     6014.9081
3069.167     6024.3763
3078.88     6044.1592
3083.832     6053.4079
3088.434     6062.4372
3098.313     6084.9477
3103.146     6093.3499
3108.227     6102.2538
3113.061     6110.6874
3122.805     6133.6055
3127.536     6145.6445
3132.503     6155.8965
3142.253     6173.4848
3147.313     6184.3638
3152.116     6194.3336
3162.005     6212.4862
3166.864     6223.0517
3171.811     6243.493
3181.422     6265.7527
3186.471     6273.8414
3191.459     6283.435
3196.252     6293.781
3206.31     6313.5326
3211     6323.7219
3215.967     6335.5101
3225.743     6356.2335
3230.792     6365.7644
3235.641     6375.797
3245.36     6395.8307
3250.184     6405.4243
3255.238     6413.4816
3260.031     6424.0471
3270.31     6442.6387
3274.99     6452.5458
3279.916     6460.8853
3289.799     6481.5147
3294.793     6492.8954
3299.827     6502.8338
3309.643     6521.394
3314.528     6533.2136
3319.47     6543.8104
3324.587     6553.8743
3334.362     6574.1588
3339.386     6584.0033
3344.225     6593.6282
3354.263     6612.596
3359.137     6620.1831
3364.182     6629.6513
3373.983     6651.8482
3379.038     6662.884
3383.938     6673.0419
3388.988     6682.5728
3403.849     6703.9547
3408.925     6712.6704
3413.779     6723.3613
3423.868     6743.1442
3428.717     6754.9638
3433.818     6763.2093
3443.768     6783.2743
3448.849     6793.3696
3453.703     6804.8129
3463.751     6823.9061
3468.719     6835.6316
3473.845     6844.2847
3478.669     6853.5334
3488.902     6875.072
3493.746     6884.7283
3498.826     6895.9835
3508.674     6917.5221
3513.867     6929.7179
3518.948     6941.318
3528.96     6961.0382
3534.102     6969.8794
3538.992     6979.567
3544.15     6987.4049
3554.162     7004.9932
3559.304     7016.7814
3564.251     7027.9426
3574.386     7047.3806
3579.38     7057.5072
3584.573     7068.1354
3594.626     7091.9
3599.758     7102.0893
3604.51     7110.8991
3614.84     7133.1588
3619.751     7143.4421
3624.919     7153.7568
3634.905     7175.6716
3640.079     7184.983
3645.072     7194.6393
3650.162     7205.2049
3660.375     7225.991
3665.45     7236.776
3670.51     7245.8052
3680.63     7263.2054
3685.742     7273.6142
3690.76     7283.1451
3700.855     7303.5863
3705.899     7315.061
3711.155     7337.3521
3721.367     7359.549
3726.571     7368.641
3731.425     7378.3287
3736.65     7388.1731
3746.842     7409.1787
3752.169     7419.3993
3757.214     7429.7767
3767.4     7449.7477
3772.378     7459.8743
3777.561     7469.8128
3787.831     7492.4173
3793.019     7501.3212
3797.981     7512.8586
3808.343     7533.7388
3813.423     7544.6805
3818.463     7555.8104
3823.672     7567.8807
3833.828     7590.2031
3839.032     7599.1383
3844.092     7608.8573
3854.556     7632.5278
3859.549     7642.0901
3864.728     7649.2383
3874.734     7667.7671
3879.913     7676.7337
3884.7     7688.9922
3890.079     7702.0031
3900.569     7721.5038
3905.758     7732.1007
3910.92     7742.1959
3921.328     7763.2329
3926.285     7774.5195
3931.525     7787.7812
3941.779     7806.843
3947.075     7815.8723
3952.326     7825.7167
3957.293     7834.5892
3967.696     7856.1905
3972.792     7866.1603
3978.016     7876.5377
3988.1     7897.7628
3993.35     7911.0559
3998.457     7921.6528
4008.69     7943.0973
4014.053     7953.7255
4019.396     7963.8207
4024.466     7974.9506
4034.91     7996.5205
4040.006     8006.3022
4045.241     8015.4882
4052.034     8024.0159
4049.766     8021.6332
4047.215     8015.018
4041.672     8004.0449
4038.731     7997.8373
4036.046     7992.9464
4033.064     7988.6199
4026.842     7979.089
4023.628     7972.5678
4020.414     7965.7959
4013.523     7951.6876
4010.592     7945.8876
4007.111     7939.7113
3996.904     7926.669
