Distance_nm     Force_uN
0     2.997
0.016     2.592
1.827     2.916
8.903     2.754
16.473     0.567
24.192     -2.025
31.762     -0.486
38.756     3.645
46.096     7.209
53.42     6.885
60.513     5.184
68.05     2.754
75.341     -1.377
82.647     -1.863
90.251     1.377
97.294     3.402
104.173     5.184
111.382     6.723
118.359     3.483
125.814     -0.486
133.105     -2.268
139.935     -0.243
147.258     2.511
154.499     4.536
161.378     4.941
168.866     1.782
175.811     0.486
182.855     2.187
190.195     3.564
196.926     3.726
204.052     3.726
211.276     2.997
218.205     1.944
225.298     1.944
232.341     1.944
239.253     3.483
246.494     4.779
253.703     3.726
260.137     1.377
267.165     0.972
274.241     1.62
281.186     3.078
288.46     3.159
295.109     3.726
302.383     4.536
309.525     3.321
316.503     2.106
323.958     0.972
330.903     -0.81
337.799     1.539
345.023     4.212
352.1     4.536
359.028     4.293
366.253     2.511
373.05     0.972
380.126     1.377
387.367     2.025
394.164     3.645
401.619     5.751
409.058     5.427
415.822     3.807
423.194     1.458
430.32     -0.081
437.117     -0.567
444.622     0.81
451.731     2.43
458.61     4.131
465.983     4.05
473.092     2.349
480.317     1.701
487.575     1.458
494.388     2.349
501.728     3.969
509.347     3.888
516.259     3.483
523.517     3.078
530.692     4.212
537.752     6.237
545.224     4.941
552.3     3.321
559.443     2.349
567.063     1.134
573.975     0.486
581.166     -1.215
588.588     0.81
595.78     2.997
603.35     2.511
610.575     1.053
617.783     -0.81
625.419     -0.972
632.562     0
639.77     2.511
647.538     4.536
654.664     6.075
662.037     6.966
669.557     7.047
676.585     5.589
684.122     3.888
691.659     2.835
698.571     1.458
706.125     1.62
713.432     2.835
720.393     3.402
727.964     3.24
735.304     1.215
742.561     -0.891
750.066     -1.701
757.208     -1.053
764.564     0.486
772.019     2.754
779.063     3.402
786.452     5.346
793.66     6.723
800.803     6.156
808.307     5.913
815.466     5.265
822.576     2.916
830.129     0.972
837.305     0.081
844.414     1.863
851.853     2.997
858.798     1.62
866.302     0
873.741     -2.187
888.207     -2.268
895.662     -0.405
902.886     1.377
910.374     2.754
917.484     2.106
924.61     1.134
932.279     3.402
939.536     6.237
946.942     7.128
954.414     6.156
961.605     5.427
969.241     5.022
976.696     5.67
984.086     4.536
991.936     2.916
999.177     2.349
1006.632     0.567
1014.449     -0.081
1021.888     2.025
1026.167     1.782
1019.403     0.081
1011.52     -1.944
1003.406     -1.782
995.26     1.296
987.706     4.293
979.675     5.67
971.842     5.832
964.189     4.212
956.388     3.807
948.917     4.05
941.248     5.022
933.233     6.723
925.811     6.885
918.175     5.832
910.358     3.807
902.886     0.162
895.168     -0.324
887.647     -0.081
880.208     -1.377
872.342     -1.296
864.887     -1.701
857.679     -1.539
849.779     0.729
842.653     3.321
835.034     4.698
827.332     5.589
820.074     5.346
812.504     4.131
804.983     4.698
797.742     6.804
789.958     8.424
782.47     6.642
775.377     2.592
767.987     3.726
760.779     4.941
753.275     4.131
745.639     1.296
738.579     -4.536
731.222     -7.209
723.701     -4.455
716.658     -0.567
709.235     2.754
701.797     3.726
694.819     3.078
687.249     3.888
680.057     3.726
672.98     4.455
665.542     6.561
658.465     6.966
651.274     6.237
643.868     5.346
636.956     5.508
629.583     6.723
622.243     8.181
615.43     5.589
608.139     0.729
600.964     -3.159
594.052     -2.511
586.614     0.081
579.553     0.162
572.576     -1.053
565.055     -1.053
558.209     -0.243
551.313     1.863
543.891     3.483
536.946     3.726
529.705     5.67
522.447     5.508
515.552     5.427
508.163     6.318
501.086     6.885
494.009     9.234
486.505     9.477
479.659     5.67
472.73     -0.648
