Distance_nm     Force_uN
0     4.212
0.049     0.081
0.148     -1.053
0.246     0.648
0.411     2.187
0.51     0.081
0.691     -3.483
0.872     -2.754
0.839     -2.349
1.003     -4.05
1.201     -4.86
1.168     -6.885
1.201     -9.558
1.267     -9.639
1.201     -5.751
1.102     -3.078
0.789     -4.536
0.74     -5.346
0.855     -3.969
0.707     -1.458
0.608     3.24
0.641     4.455
0.493     1.782
0.197     1.539
0.115     1.296
0.164     1.215
0.197     -1.782
0.148     -6.156
-0.017     -8.262
-0.165     -7.857
-0.165     -4.293
-0.214     -3.888
-0.165     -9.153
-0.231     -11.016
-0.247     -1.134
-0.264     -1.863
-0.247     -6.885
-0.264     -7.533
-0.099     -2.754
-0.165     3.24
-0.198     4.941
-0.165     3.888
-0.198     2.835
-0.28     2.025
-0.297     1.377
-0.198     -1.377
-0.264     -4.455
-0.247     -5.427
-0.165     -8.019
-0.066     -8.262
-0.017     -4.779
-0.099     -2.997
0.082     -3.888
0.263     -8.019
0.46     -9.234
0.477     -4.617
0.427     -1.458
0.46     -0.729
0.526     -1.701
0.543     -1.377
0.576     3.483
0.592     7.128
0.806     4.617
0.822     0.405
0.822     -1.863
0.938     -1.377
0.938     -2.268
0.789     -4.617
0.872     -8.1
0.855     -10.53
0.888     -8.667
0.954     -4.86
0.822     -4.374
0.855     -6.723
0.855     -6.156
0.855     -3.564
0.74     -1.134
0.559     0.891
0.46     -0.81
0.394     -4.536
0.329     -2.349
0.065     4.941
-0.099     9.315
0.082     3.807
0.115     -6.399
-0.099     -9.315
-0.017     -4.86
-0.066     -2.187
0.032     -5.184
0.082     -9.315
0     -9.153
0.032     -5.913
0.246     -4.698
0.411     -5.994
0.345     -5.103
0.345     -2.43
0.394     -0.405
0.46     -1.215
0.658     -2.268
0.888     0.324
1.053     5.103
1.036     4.617
1.069     -1.377
1.3     -5.103
1.728     -4.212
1.925     -1.863
2.139     -4.05
2.402     -7.371
2.369     -6.237
2.633     -5.184
2.863     -5.751
3.011     -7.857
3.11     -8.667
3.209     -3.402
3.472     -1.782
3.604     -3.888
3.587     -2.592
3.9     1.134
4.18     4.212
4.278     2.268
4.426     -0.243
4.509     -0.972
4.673     -1.944
4.657     -3.483
4.673     -5.427
4.706     -4.293
4.673     -0.891
4.92     -2.592
4.97     -8.991
5.002     -10.53
5.085     -5.022
5.101     -1.296
5.068     -3.321
5.266     -7.29
