Distance_nm     Force_uN
0     -1.863
-0.064     -1.215
0.258     0.162
3.043     -0.405
3.085     -1.539
5.028     -2.754
6.112     -1.62
6.333     -1.134
7.981     -1.701
9.155     -2.754
9.319     -2.673
10.856     -2.916
12.204     -2.43
12.272     -2.754
15.131     -2.106
15.305     -2.349
16.653     -1.944
18.106     -0.891
18.217     -0.243
19.396     -0.729
20.97     -0.162
21.191     -1.458
22.26     -1.701
24.24     -2.673
24.219     -2.673
26.93     -2.349
27.178     -1.62
27.109     -1.944
29.805     -1.863
30.121     -2.673
30.968     -2.106
32.758     -1.62
33.116     0.486
33.748     -0.324
36.218     -2.43
36.191     -2.187
36.807     -1.296
39.292     -0.729
39.703     -1.944
42.304     -1.701
42.262     -1.458
44.384     -1.62
45.268     -1.863
45.258     -2.349
47.316     -1.863
48.385     -1.701
48.532     0.324
50.165     0.972
51.344     -0.648
51.423     -1.701
52.808     -2.511
54.424     -1.62
54.466     -0.648
57.256     -0.567
57.43     -1.053
58.589     -1.539
60.3     -2.511
60.526     -2.106
61.532     0.162
63.295     0.162
63.469     -0.891
64.364     -0.729
66.612     -0.324
66.607     -1.377
67.376     -2.106
69.708     -1.539
69.677     0.162
72.256     -0.891
72.846     -1.701
73.283     -0.486
75.215     -0.567
75.863     -0.648
76.274     -0.486
78.948     -0.162
78.964     -0.891
79.38     -0.972
82.049     -1.458
82.065     -0.891
84.14     -0.729
85.15     -1.215
85.34     0.081
87.077     -0.891
88.246     -2.835
88.441     -2.349
90.052     -1.053
91.321     0.243
91.421     0.891
94.348     -0.324
94.427     -0.567
95.996     -1.701
97.486     -0.648
97.665     -1.215
99.008     -0.891
100.566     -1.296
100.661     -1.458
101.946     -2.106
103.82     -2.592
103.799     -0.972
106.732     0.486
107.063     -0.162
107.937     -1.863
109.78     -0.972
110.133     -0.324
111.023     -0.405
112.886     -2.025
113.234     -1.458
113.934     -1.296
116.425     -1.782
116.43     -1.053
117.014     -1.296
119.599     -0.162
119.641     0.729
122.074     0.405
122.843     0.648
123.28     0.648
125.091     0.162
125.938     -1.377
126.254     -2.754
128.081     -2.592
129.171     -1.863
129.434     -1.62
132.378     -1.134
132.525     -1.377
135.421     0
135.473     0.405
137.211     0.648
138.564     0.081
138.785     1.944
140.312     1.539
141.991     -1.215
142.065     -2.673
143.402     -2.835
145.187     -1.053
145.229     -0.891
148.078     -2.106
148.362     -3.321
149.483     -2.025
151.279     -0.972
151.589     0.81
152.637     0.729
154.506     0.405
154.806     -0.243
155.68     -1.62
158.071     -2.106
158.071     -1.944
160.745     -1.539
161.288     -1.053
161.898     -3.645
163.846     -3.483
164.52     -2.106
165.015     -0.243
166.969     0.324
167.627     2.43
168.048     1.377
170.938     -0.405
170.954     -0.243
173.129     -0.648
174.055     -0.648
174.35     -1.458
176.224     -0.729
177.383     -1.458
177.609     -1.782
179.31     -0.972
180.594     -0.486
180.847     -0.324
183.832     0.972
183.948     0.891
185.617     0.81
187.07     -0.243
187.281     -0.405
188.645     -1.134
190.424     -2.106
190.503     -3.078
191.819     -2.511
193.778     -0.972
193.836     -0.162
196.758     -0.081
197.032     0.081
198.106     -0.405
199.964     -0.081
200.38     0.891
201.286     0.081
203.518     -0.162
203.455     -0.729
206.23     -1.215
206.73     -1.296
206.756     -1.053
209.431     -0.729
210.063     -1.539
210.7     -0.162
212.616     0.891
213.395     2.349
213.838     0.972
216.56     -0.243
216.67     0.567
218.976     1.296
219.945     0
220.261     -0.567
222.151     -1.296
223.251     -1.701
223.494     -1.863
225.289     -1.62
226.526     -0.891
226.774     -0.729
229.822     1.296
229.964     2.187
233.097     1.053
233.186     -0.081
234.75     -0.486
236.361     0.567
236.567     0.405
237.878     -0.648
239.594     -1.215
239.952     -1.458
241.1     -1.053
243.179     -0.648
243.227     0.486
246.159     0.081
246.502     0.729
247.481     2.268
249.424     1.377
249.861     -0.405
250.714     -0.81
252.693     0.405
253.262     1.62
253.994     0.405
