Distance_nm     Force_uN
0.191     1.863
3.437     0.567
18.544     0.081
25.544     0.729
38.987     6.723
46.327     6.723
62.007     4.05
69.844     2.754
83.96     3.807
91.869     2.43
99.7     0.729
114.439     0.324
121.068     1.863
134.885     4.941
142.371     2.997
150.256     0.243
164.825     0.162
171.582     2.511
185.134     4.617
192.55     4.212
206.72     4.698
214.023     5.265
221.137     4.698
236.351     2.592
243.606     0.648
258.45     0.162
265.505     0.243
272.523     1.863
285.934     4.617
292.243     9.234
302.286     24.543
307.399     32.805
315.964     53.784
321.082     61.965
325.293     72.414
333.794     95.337
343.095     113.643
347.356     124.578
350.557     139.077
359.711     158.355
364.883     165.483
374.955     181.602
378.993     194.643
387.547     215.541
392.081     226.071
400.346     249.075
404.773     260.739
410.612     291.033
415.262     301.806
424.716     319.059
429.169     330.318
433.216     341.496
441.979     363.204
450.484     385.074
455.023     395.28
458.683     408.321
468.517     426.546
476.799     450.036
480.448     462.51
484.424     474.255
492.467     498.879
503.07     514.431
503.07     514.431
507.523     521.721
500.389     507.708
494.884     497.421
484.98     475.308
481.665     458.055
473.458     429.705
467.519     422.496
458.418     398.682
453.621     388.638
442.927     370.251
438.626     358.668
434.035     318.249
428.998     309.582
419.698     288.036
415.645     276.453
411.78     261.792
403.577     236.115
398.074     227.529
389.257     206.388
384.115     196.83
376.203     171.234
371.214     161.595
362.785     139.077
357.099     132.759
353.209     120.69
346.295     90.72
341.215     82.458
330.983     65.772
326.957     53.784
322.16     43.983
312.989     23.976
307.892     15.714
290.736     -2.02499999999999
285.815     -10.449
279.68     -15.714
265.379     -15.471
249.909     -11.745
242.958     -12.636
235.966     -15.147
221.746     -15.39
213.724     -13.041
199.444     -13.122
192.084     -12.312
177.836     -13.608
170.825     -13.365
156.398     -13.203
149.617     -13.446
142.933     -15.39
128.365     -14.337
120.37     -11.421
106.005     -10.449
99.162     -12.231
85.419     -13.203
78.297     -13.77
71.173     -12.798
56.483     -11.907
50.139     -13.77
35.039     -12.15
28.056     -12.069
20.918     -12.879
6.67699999999997     -13.041
-0.854000000000028     -12.393
