Distance_nm     Force_uN
0     1.1287
0.149     1.5362
0.011     1.6616
-0.079     0.2822
0.404     0
0.531     1.2854
0.08     2.2573
-0.218     2.1319
-0.191     1.1287
0.091     -0.0314
0.547     0.4389
0.388     2.853
-0.378     4.7968
-1.053     4.2325
-0.898     2.9471
-0.436     2.32
-0.218     2.5708
-0.283     2.4141
-0.172     1.1914
0.216     0.3135
0.503     1.16
0.311     1.9752
0.081     0.7524
0.517     -0.4389
0.941     1.2854
0.352     3.7622
-0.436     3.5741
-0.346     1.1914
0.415     -0.7838
1.121     -0.6897
1.084     1.5362
0.35     3.6681
-0.357     4.2638
-0.575     3.9503
-0.474     2.853
-0.081     1.4108
0.408     1.5676
0.428     3.3233
-0.136     3.8563
-0.327     2.9157
0.003     0.1568
0.969     -1.4422
1.542     -0.4076
1.192     1.4735
0.601     2.1319
0.404     1.3481
0.649     1.0033
0.745     0.9405
0.766     0.3762
0.963     0.3762
0.963     1.7243
0.532     2.6022
0.234     2.5395
0.297     2.6022
0.25     2.4768
0.36     2.4141
0.408     3.1038
0.179     3.2606
0.147     2.7276
0.306     2.1006
0.514     1.2227
0.822     0.8778
0.981     1.9752
0.593     2.4141
0.449     1.5362
0.736     -0.1254
1.3     0.0627
1.241     1.693
0.735     2.32
0.58     1.3168
0.926     0.6584
1.128     0.4389
1.192     1.1914
0.968     2.3514
0.612     3.1352
0.356     3.0098
0.378     1.8184
0.86     1.0033
1.209     2.5708
0.694     3.2292
0.497     2.8844
0.634     1.8184
0.985     0.6897
1.41     1.1287
1.36     1.5676
1.232     1.5676
1.227     1.4422
1.358     0.7211
1.665     0.2822
1.825     0.9405
1.586     1.8811
1.246     2.4454
1.076     1.7557
1.315     1.1287
1.579     1.6616
1.399     1.9752
1.313     1.8184
1.403     2.0379
1.329     2.5395
1.232     2.4768
1.258     2.8216
1.042     3.1038
0.988     2.4141
1.269     2.0379
1.36     1.1914
1.642     0.0314
2.108     -0.2822
2.193     0.0627
2.056     1.2541
1.626     2.8844
1.063     3.919
0.759     3.1665
0.988     1.066
1.663     0.7838
1.769     2.1319
1.312     2.853
1.094     2.7903
1.141     2.226
1.275     1.787
1.393     1.3168
1.516     2.1319
1.224     3.2919
0.82     3.4173
0.788     2.1946
1.202     0.4076
1.834     -0.5016
2.111     -0.4703
2.048     0.533
1.656     1.2854
1.432     1.1914
1.496     1.2227
1.485     2.1946
1.145     3.1038
0.8     2.32
1.035     1.0346
1.444     0.9719
1.45     1.2227
1.365     1.3481
1.338     2.32
1.024     2.9157
0.765     2.4454
0.924     2.4768
0.94     2.9784
0.822     2.7276
0.943     1.4735
1.337     0.0941
1.747     -0.2822
1.87     -0.4703
1.939     -0.5016
1.996     0.2508
1.82     1.4108
1.426     2.2573
1.134     2.6649
0.986     1.5049
1.421     0.2195
1.888     0.4389
1.824     1.3168
1.531     2.5395
1.185     3.2606
0.93     2.8844
1.057     2.226
1.322     2.5081
1.305     2.4768
1.389     1.8497
1.669     0.9405
1.957     -0.0627
2.359     -0.533
2.534     -0.5643
2.561     0.2508
2.347     1.5362
1.901     1.3168
1.996     1.1914
2.065     2.1319
